batch_id,product_name,product_type,quality_grade,produced_date,expiry_date,quantity,storage_type,city,route_id,distance_km,estimated_time_hours,route_type,current_freshness,days_in_storage,temperature,humidity,delay_factor,congestion_level,demand_score,shelf_life_days,days_used,days_remaining,expiry_urgency,spoilage_risk,priority_score
B-1015,Meat,Chilled,B,2026-02-09,2026-02-14,366,Refrigerated,Houston,R-1015,443,9.63,warehouse,14.4,9,15.5,41.6,1.7380000000000002,Medium,90,5,9,-4,1,High,3.6
B-1016,Milk,Chilled,A,2026-02-04,2026-02-11,353,Refrigerated,Phoenix,R-1016,178,4.34,direct,89.3,4,19.6,82.6,1.8536,Medium,44,7,4,3,0,High,4.3
B-1017,Meat,Chilled,B,2026-02-04,2026-02-09,281,Refrigerated,Los Angeles,R-1017,230,4.18,direct,57.3,10,14.7,88.8,1.686,Medium,41,5,10,-5,1,High,3.1
B-1018,Tomato,Fresh,A,2026-02-09,2026-02-23,334,Ambient,Houston,R-1018,324,6.0,direct,65.6,9,20.6,41.3,1.7380000000000002,Medium,83,14,9,5,0,Medium,5.0
B-1019,Milk,Chilled,A,2026-02-04,2026-02-11,406,Refrigerated,Houston,R-1019,102,2.55,warehouse,82.9,7,4.1,80.4,1.7380000000000002,Medium,74,7,7,0,1,Medium,5.3
B-1020,Meat,Chilled,C,2026-02-03,2026-02-08,106,Refrigerated,Chicago,R-1020,420,6.27,direct,44.1,6,2.5,52.3,1.7147999999999999,Medium,91,5,6,-1,1,High,4.5
B-1021,Milk,Chilled,B,2026-02-07,2026-02-14,492,Refrigerated,Houston,R-1021,209,4.75,warehouse,90.1,4,4.2,44.7,1.7380000000000002,Medium,74,7,4,3,0,Medium,5.5
B-1022,Fish,Chilled,A,2026-02-03,2026-02-08,167,Refrigerated,Los Angeles,R-1022,116,1.78,direct,59.7,10,19.0,51.5,1.686,Medium,46,5,10,-5,1,High,3.5
B-1023,Onion,Fresh,B,2026-01-31,2026-02-14,278,Ambient,Houston,R-1023,43,0.55,direct,94.4,2,21.9,41.3,1.7380000000000002,Medium,84,14,2,12,0,Medium,6.1
B-1024,Onion,Fresh,B,2026-02-03,2026-02-17,53,Ambient,Los Angeles,R-1024,81,1.4,warehouse,24.0,10,23.2,89.4,1.686,Medium,60,14,10,4,0,High,3.0
B-1025,Fish,Chilled,A,2026-02-08,2026-02-13,456,Refrigerated,New York,R-1025,395,5.49,warehouse,11.4,9,6.8,49.0,1.565,High,88,5,9,-4,1,High,3.5
B-1026,Onion,Fresh,B,2026-02-04,2026-02-18,406,Ambient,Los Angeles,R-1026,104,1.93,warehouse,46.9,6,13.5,58.7,1.686,Medium,60,14,6,8,0,High,3.7
B-1027,Milk,Chilled,A,2026-02-08,2026-02-15,98,Refrigerated,Los Angeles,R-1027,458,8.04,warehouse,77.9,8,7.0,89.9,1.686,Medium,56,7,8,-1,1,Medium,4.1
B-1028,Meat,Chilled,C,2026-02-05,2026-02-10,174,Refrigerated,Phoenix,R-1028,319,6.65,direct,91.8,4,8.3,54.5,1.8536,Medium,81,5,4,1,1,Medium,5.7
B-1029,Tomato,Fresh,A,2026-02-05,2026-02-19,63,Ambient,Los Angeles,R-1029,26,0.55,direct,55.3,9,19.5,83.0,1.686,Medium,77,14,9,5,0,Medium,4.7
B-1030,Onion,Fresh,B,2026-02-07,2026-02-21,398,Ambient,Los Angeles,R-1030,339,4.77,direct,48.0,9,21.2,38.4,1.686,Medium,60,14,9,5,0,High,3.5
B-1031,Meat,Chilled,B,2026-02-04,2026-02-09,450,Refrigerated,Houston,R-1031,148,2.0,direct,87.1,6,12.6,60.5,1.7380000000000002,Medium,90,5,6,-1,1,High,6.1
B-1032,Meat,Chilled,B,2026-02-02,2026-02-07,262,Refrigerated,Phoenix,R-1032,301,5.02,warehouse,72.5,9,21.9,48.9,1.8536,Medium,81,5,9,-4,1,High,5.1
B-1033,Onion,Fresh,B,2026-02-09,2026-02-23,159,Ambient,Los Angeles,R-1033,283,5.55,warehouse,52.2,10,10.0,85.2,1.686,Medium,60,14,10,4,0,Medium,3.7
B-1034,Milk,Chilled,C,2026-02-08,2026-02-15,340,Refrigerated,Los Angeles,R-1034,286,4.21,direct,72.5,3,21.2,35.3,1.686,Medium,56,7,3,4,0,High,4.1
B-1035,Fish,Chilled,B,2026-02-06,2026-02-11,446,Refrigerated,Chicago,R-1035,335,4.47,warehouse,100.0,0,22.5,62.8,1.7147999999999999,Medium,52,5,0,5,0,High,4.7
B-1036,Tomato,Fresh,B,2026-02-02,2026-02-16,382,Ambient,New York,R-1036,91,1.4,warehouse,67.9,10,11.2,31.3,1.565,High,99,14,10,4,0,Medium,5.9
B-1037,Tomato,Fresh,A,2026-02-06,2026-02-20,93,Ambient,Phoenix,R-1037,369,7.1,direct,55.2,6,23.3,90.0,1.8536,Medium,95,14,6,8,0,Medium,5.1
B-1038,Milk,Chilled,B,2026-02-05,2026-02-12,411,Refrigerated,Chicago,R-1038,456,7.73,direct,54.2,9,22.4,52.8,1.7147999999999999,Medium,42,7,9,-2,1,High,2.8
B-1039,Tomato,Fresh,A,2026-02-05,2026-02-19,469,Ambient,Los Angeles,R-1039,241,4.92,warehouse,95.2,1,10.9,88.1,1.686,Medium,77,14,1,13,0,Medium,5.7
B-1040,Tomato,Fresh,B,2026-02-04,2026-02-18,431,Ambient,Phoenix,R-1040,90,1.15,warehouse,85.5,2,21.0,41.8,1.8536,Medium,95,14,2,12,0,Medium,6.3
B-1041,Milk,Chilled,B,2026-02-02,2026-02-09,198,Refrigerated,Phoenix,R-1041,120,1.88,warehouse,70.4,3,15.9,63.9,1.8536,Medium,44,7,3,4,0,High,3.8
B-1042,Meat,Chilled,B,2026-02-06,2026-02-11,477,Refrigerated,New York,R-1042,312,4.88,direct,79.9,5,9.7,37.7,1.565,High,66,5,5,0,1,Medium,4.7
B-1043,Onion,Fresh,B,2026-02-05,2026-02-19,92,Ambient,Houston,R-1043,274,5.37,direct,66.2,4,13.5,49.0,1.7380000000000002,Medium,84,14,4,10,0,Medium,5.1
B-1044,Meat,Chilled,B,2026-02-01,2026-02-06,119,Refrigerated,New York,R-1044,112,2.0,warehouse,60.6,8,23.1,54.5,1.565,High,66,5,8,-3,1,High,4.3
B-1045,Onion,Fresh,B,2026-02-05,2026-02-19,493,Ambient,Chicago,R-1045,240,5.11,warehouse,32.6,10,4.2,83.7,1.7147999999999999,Medium,55,14,10,4,0,High,2.9
B-1046,Onion,Fresh,C,2026-01-31,2026-02-14,73,Ambient,Chicago,R-1046,301,5.1,warehouse,94.8,1,22.7,36.2,1.7147999999999999,Medium,55,14,1,13,0,Medium,4.7
B-1047,Onion,Fresh,A,2026-02-05,2026-02-19,331,Ambient,Los Angeles,R-1047,362,8.04,direct,76.5,6,16.9,48.3,1.686,Medium,60,14,6,8,0,Medium,4.3
B-1048,Fish,Chilled,A,2026-01-31,2026-02-05,498,Refrigerated,Los Angeles,R-1048,320,6.15,warehouse,92.1,1,22.6,78.1,1.686,Medium,46,5,1,4,0,High,4.3
B-1049,Meat,Chilled,C,2026-02-01,2026-02-06,471,Refrigerated,Chicago,R-1049,120,3.0,direct,46.7,6,4.1,82.9,1.7147999999999999,Medium,91,5,6,-1,1,High,4.9
B-1050,Onion,Fresh,A,2026-02-03,2026-02-17,119,Ambient,New York,R-1050,28,0.39,warehouse,74.4,4,8.0,40.5,1.565,High,69,14,4,10,0,Medium,5.0
B-1051,Fish,Chilled,B,2026-02-09,2026-02-14,397,Refrigerated,Houston,R-1051,201,3.65,direct,29.2,9,24.8,35.0,1.7380000000000002,Medium,77,5,9,-4,1,High,3.8
B-1052,Meat,Chilled,A,2026-02-08,2026-02-13,491,Refrigerated,Phoenix,R-1052,264,3.72,warehouse,100.0,0,20.9,66.8,1.8536,Medium,81,5,0,5,0,High,6.0
B-1053,Fish,Chilled,A,2026-02-01,2026-02-06,271,Refrigerated,Chicago,R-1053,181,2.48,direct,92.6,1,8.4,51.8,1.7147999999999999,Medium,52,5,1,4,0,Medium,4.7
B-1054,Milk,Chilled,B,2026-02-09,2026-02-16,460,Refrigerated,Chicago,R-1054,414,6.0,warehouse,87.9,4,5.9,43.9,1.7147999999999999,Medium,42,7,4,3,0,Medium,3.9
B-1055,Fish,Chilled,B,2026-02-07,2026-02-12,351,Refrigerated,Phoenix,R-1055,133,2.56,warehouse,30.2,9,17.5,37.9,1.8536,Medium,66,5,9,-4,1,High,3.4
B-1056,Meat,Chilled,A,2026-02-06,2026-02-11,480,Refrigerated,New York,R-1056,16,0.2,warehouse,100.0,0,5.3,78.9,1.565,High,66,5,0,5,0,Medium,5.6
B-1057,Fish,Chilled,C,2026-01-31,2026-02-05,483,Refrigerated,Chicago,R-1057,434,5.71,direct,93.6,1,9.9,77.8,1.7147999999999999,Medium,52,5,1,4,0,Medium,4.5
B-1058,Milk,Chilled,C,2026-02-08,2026-02-15,82,Refrigerated,New York,R-1058,262,3.49,direct,40.4,7,22.8,72.3,1.565,High,77,7,7,0,1,High,4.0
B-1059,Fish,Chilled,C,2026-01-31,2026-02-05,108,Refrigerated,Houston,R-1059,319,4.09,warehouse,42.1,6,24.9,80.6,1.7380000000000002,Medium,77,5,6,-1,1,High,4.0
B-1060,Tomato,Fresh,B,2026-02-03,2026-02-17,136,Ambient,Phoenix,R-1060,313,6.8,direct,100.0,0,11.5,78.6,1.8536,Medium,95,14,0,14,0,Medium,6.5
B-1061,Meat,Chilled,C,2026-02-02,2026-02-07,63,Refrigerated,Chicago,R-1061,303,5.94,direct,67.6,9,19.2,37.9,1.7147999999999999,Medium,91,5,9,-4,1,High,5.4
B-1062,Meat,Chilled,B,2026-02-03,2026-02-08,368,Refrigerated,Chicago,R-1062,402,5.15,direct,89.9,5,17.0,32.2,1.7147999999999999,Medium,91,5,5,0,1,High,5.9
B-1063,Fish,Chilled,B,2026-02-07,2026-02-12,186,Refrigerated,Phoenix,R-1063,204,2.79,direct,85.6,7,5.9,84.7,1.8536,Medium,66,5,7,-2,1,Medium,5.0
B-1064,Fish,Chilled,A,2026-02-03,2026-02-08,106,Refrigerated,New York,R-1064,18,0.43,warehouse,79.1,6,3.2,87.4,1.565,High,88,5,6,-1,1,Medium,5.9
B-1065,Onion,Fresh,C,2026-02-06,2026-02-20,124,Ambient,Phoenix,R-1065,279,3.49,warehouse,81.3,6,7.9,33.0,1.8536,Medium,99,14,6,8,0,Medium,6.1
B-1066,Tomato,Fresh,A,2026-02-01,2026-02-15,368,Ambient,Phoenix,R-1066,456,6.91,warehouse,83.8,2,22.5,34.2,1.8536,Medium,95,14,2,12,0,Medium,5.9
B-1067,Meat,Chilled,B,2026-02-04,2026-02-09,465,Refrigerated,New York,R-1067,252,3.88,direct,61.0,7,17.6,73.0,1.565,High,66,5,7,-2,1,High,4.2
B-1068,Milk,Chilled,C,2026-02-06,2026-02-13,230,Refrigerated,Houston,R-1068,96,2.09,direct,47.9,8,10.4,61.7,1.7380000000000002,Medium,74,7,8,-1,1,High,4.3
B-1069,Meat,Chilled,C,2026-02-04,2026-02-09,421,Refrigerated,New York,R-1069,440,6.88,direct,94.2,1,20.5,81.2,1.565,High,66,5,1,4,0,High,5.0
B-1070,Onion,Fresh,B,2026-02-07,2026-02-21,181,Ambient,Phoenix,R-1070,321,5.26,direct,81.4,5,19.9,68.2,1.8536,Medium,99,14,5,9,0,Medium,6.1
B-1071,Meat,Chilled,A,2026-02-01,2026-02-06,232,Refrigerated,Los Angeles,R-1071,77,1.83,direct,88.9,2,20.9,34.3,1.686,Medium,41,5,2,3,0,High,4.2
B-1072,Onion,Fresh,B,2026-02-07,2026-02-21,228,Ambient,New York,R-1072,101,1.6,warehouse,61.3,9,17.9,50.4,1.565,High,69,14,9,5,0,Medium,4.5
B-1073,Onion,Fresh,B,2026-02-06,2026-02-20,450,Ambient,Houston,R-1073,349,4.72,direct,94.2,1,14.5,86.9,1.7380000000000002,Medium,84,14,1,13,0,Medium,5.8
B-1074,Onion,Fresh,C,2026-02-07,2026-02-21,462,Ambient,Phoenix,R-1074,345,5.56,warehouse,64.4,4,15.2,80.6,1.8536,Medium,99,14,4,10,0,Medium,5.5
B-1075,Fish,Chilled,C,2026-02-09,2026-02-14,301,Refrigerated,New York,R-1075,207,2.8,direct,81.5,7,15.7,35.1,1.565,High,88,5,7,-2,1,High,5.8
B-1076,Tomato,Fresh,C,2026-02-02,2026-02-16,293,Ambient,Phoenix,R-1076,195,2.57,warehouse,100.0,0,19.2,45.8,1.8536,Medium,95,14,0,14,0,Medium,6.6
B-1077,Onion,Fresh,C,2026-02-07,2026-02-21,372,Ambient,Houston,R-1077,195,4.88,direct,30.5,8,2.4,54.6,1.7380000000000002,Medium,84,14,8,6,0,High,4.1
B-1078,Meat,Chilled,C,2026-02-06,2026-02-11,219,Refrigerated,Houston,R-1078,429,8.94,warehouse,100.0,0,22.6,79.0,1.7380000000000002,Medium,90,5,0,5,0,High,6.2
B-1079,Milk,Chilled,C,2026-02-04,2026-02-11,133,Refrigerated,Chicago,R-1079,49,0.72,warehouse,89.9,2,16.9,82.2,1.7147999999999999,Medium,42,7,2,5,0,High,4.3
B-1080,Meat,Chilled,A,2026-01-31,2026-02-05,243,Refrigerated,Houston,R-1080,357,4.76,direct,75.9,9,15.0,76.5,1.7380000000000002,Medium,90,5,9,-4,1,High,5.5
B-1081,Fish,Chilled,A,2026-02-02,2026-02-07,96,Refrigerated,New York,R-1081,389,8.1,warehouse,52.9,8,22.9,54.0,1.565,High,88,5,8,-3,1,High,4.7
B-1082,Tomato,Fresh,B,2026-02-01,2026-02-15,339,Ambient,Houston,R-1082,71,0.93,direct,51.6,7,19.0,48.1,1.7380000000000002,Medium,83,14,7,7,0,Medium,4.8
B-1083,Milk,Chilled,C,2026-02-04,2026-02-11,426,Refrigerated,Houston,R-1083,466,7.9,direct,100.0,0,14.4,61.9,1.7380000000000002,Medium,74,7,0,7,0,High,5.5
B-1084,Milk,Chilled,C,2026-02-08,2026-02-15,498,Refrigerated,New York,R-1084,348,4.97,warehouse,84.0,2,21.6,63.3,1.565,High,77,7,2,5,0,High,5.3
B-1085,Milk,Chilled,B,2026-02-02,2026-02-09,130,Refrigerated,Phoenix,R-1085,38,0.73,direct,75.8,4,22.3,37.2,1.8536,Medium,44,7,4,3,0,High,4.0
B-1086,Milk,Chilled,A,2026-02-09,2026-02-16,462,Refrigerated,New York,R-1086,438,9.95,warehouse,65.8,5,7.8,40.2,1.565,High,77,7,5,2,1,Medium,4.6
B-1087,Onion,Fresh,B,2026-02-05,2026-02-19,396,Ambient,Chicago,R-1087,314,5.92,warehouse,0.1,10,18.7,42.3,1.7147999999999999,Medium,55,14,10,4,0,High,1.9
B-1088,Meat,Chilled,A,2026-02-04,2026-02-09,116,Refrigerated,Phoenix,R-1088,436,7.93,direct,93.5,2,20.6,53.9,1.8536,Medium,81,5,2,3,0,High,5.6
B-1089,Fish,Chilled,A,2026-02-03,2026-02-08,360,Refrigerated,New York,R-1089,134,1.81,direct,73.0,4,8.3,69.4,1.565,High,88,5,4,1,1,Medium,5.6
B-1090,Tomato,Fresh,A,2026-02-08,2026-02-22,356,Ambient,Phoenix,R-1090,281,5.2,warehouse,81.9,3,13.4,39.2,1.8536,Medium,95,14,3,11,0,Medium,6.0
B-1091,Fish,Chilled,B,2026-02-07,2026-02-12,127,Refrigerated,Phoenix,R-1091,371,9.28,direct,54.9,6,15.1,62.0,1.8536,Medium,66,5,6,-1,1,High,3.9
B-1092,Onion,Fresh,B,2026-02-07,2026-02-21,131,Ambient,New York,R-1092,261,4.5,warehouse,72.8,7,14.9,83.3,1.565,High,69,14,7,7,0,Medium,4.7
B-1093,Meat,Chilled,A,2026-02-06,2026-02-11,405,Refrigerated,Houston,R-1093,325,5.51,direct,67.7,4,6.9,50.0,1.7380000000000002,Medium,90,5,4,1,1,Medium,5.3
B-1094,Milk,Chilled,B,2026-02-01,2026-02-08,202,Refrigerated,Houston,R-1094,351,7.8,warehouse,89.7,5,16.7,81.7,1.7380000000000002,Medium,74,7,5,2,1,High,5.3
B-1095,Tomato,Fresh,B,2026-02-04,2026-02-18,419,Ambient,Houston,R-1095,419,5.51,direct,75.2,8,15.2,86.4,1.7380000000000002,Medium,83,14,8,6,0,Medium,5.2
B-1096,Fish,Chilled,A,2026-02-01,2026-02-06,181,Refrigerated,Los Angeles,R-1096,231,4.28,warehouse,89.8,2,19.7,45.5,1.686,Medium,46,5,2,3,0,High,4.3
B-1097,Fish,Chilled,A,2026-02-01,2026-02-06,377,Refrigerated,Phoenix,R-1097,490,12.25,direct,94.9,1,17.2,68.7,1.8536,Medium,66,5,1,4,0,High,5.0
B-1098,Milk,Chilled,A,2026-02-04,2026-02-11,348,Refrigerated,New York,R-1098,468,11.41,direct,93.6,1,6.2,68.0,1.565,High,77,7,1,6,0,Medium,5.4
B-1099,Meat,Chilled,C,2026-02-08,2026-02-13,219,Refrigerated,Phoenix,R-1099,283,5.34,direct,94.6,1,15.6,72.3,1.8536,Medium,81,5,1,4,0,High,5.8
B-1100,Milk,Chilled,A,2026-02-04,2026-02-11,268,Refrigerated,Los Angeles,R-1100,307,5.9,warehouse,67.9,6,16.1,37.5,1.686,Medium,56,7,6,1,1,High,4.0
B-1101,Onion,Fresh,A,2026-02-06,2026-02-20,394,Ambient,Phoenix,R-1101,302,4.03,direct,58.2,9,24.7,32.7,1.8536,Medium,99,14,9,5,0,Medium,5.4
B-1102,Fish,Chilled,A,2026-02-07,2026-02-12,263,Refrigerated,New York,R-1102,91,2.22,direct,45.0,7,21.1,89.8,1.565,High,88,5,7,-2,1,High,4.8
B-1103,Fish,Chilled,B,2026-02-05,2026-02-10,250,Refrigerated,Chicago,R-1103,345,4.93,direct,11.8,9,12.9,53.5,1.7147999999999999,Medium,52,5,9,-4,1,High,2.1
B-1104,Fish,Chilled,C,2026-02-03,2026-02-08,63,Refrigerated,Houston,R-1104,368,6.13,warehouse,56.8,8,15.0,64.6,1.7380000000000002,Medium,77,5,8,-3,1,High,4.4
B-1105,Tomato,Fresh,B,2026-02-02,2026-02-16,140,Ambient,Houston,R-1105,282,5.22,warehouse,100.0,0,24.6,56.7,1.7380000000000002,Medium,83,14,0,14,0,Medium,6.0
B-1106,Meat,Chilled,C,2026-02-01,2026-02-06,100,Refrigerated,Los Angeles,R-1106,376,6.84,direct,100.0,0,19.8,81.0,1.686,Medium,41,5,0,5,0,High,4.3
B-1107,Milk,Chilled,B,2026-01-31,2026-02-07,346,Refrigerated,Chicago,R-1107,242,3.27,direct,4.6,10,22.0,84.7,1.7147999999999999,Medium,42,7,10,-3,1,High,1.6
B-1108,Meat,Chilled,A,2026-02-06,2026-02-11,145,Refrigerated,Phoenix,R-1108,219,4.29,direct,84.8,2,20.9,32.8,1.8536,Medium,81,5,2,3,0,High,5.6
B-1109,Tomato,Fresh,C,2026-01-31,2026-02-14,274,Ambient,Los Angeles,R-1109,290,5.27,warehouse,96.2,1,2.2,82.8,1.686,Medium,77,14,1,13,0,Medium,5.7
B-1110,Meat,Chilled,C,2026-02-02,2026-02-07,247,Refrigerated,Los Angeles,R-1110,80,1.48,direct,100.0,0,10.0,51.4,1.686,Medium,41,5,0,5,0,Medium,4.6
B-1111,Meat,Chilled,B,2026-02-03,2026-02-08,477,Refrigerated,Chicago,R-1111,256,3.66,direct,100.0,0,15.5,41.4,1.7147999999999999,Medium,91,5,0,5,0,High,6.4
B-1112,Meat,Chilled,A,2026-02-08,2026-02-13,333,Refrigerated,Chicago,R-1112,333,4.97,warehouse,94.4,2,5.6,66.2,1.7147999999999999,Medium,91,5,2,3,0,Medium,6.1
B-1113,Meat,Chilled,A,2026-02-08,2026-02-13,483,Refrigerated,Phoenix,R-1113,271,4.93,direct,60.0,5,8.0,46.8,1.8536,Medium,81,5,5,0,1,Medium,4.8
B-1114,Onion,Fresh,A,2026-01-31,2026-02-14,255,Ambient,Chicago,R-1114,229,4.87,direct,43.6,10,23.2,57.7,1.7147999999999999,Medium,55,14,10,4,0,High,3.3
B-1115,Tomato,Fresh,B,2026-02-06,2026-02-20,496,Ambient,Los Angeles,R-1115,314,4.13,warehouse,97.8,1,24.7,87.8,1.686,Medium,77,14,1,13,0,Medium,5.7
B-1116,Fish,Chilled,B,2026-02-02,2026-02-07,89,Refrigerated,New York,R-1116,360,8.78,warehouse,90.0,4,24.6,82.9,1.565,High,88,5,4,1,1,High,5.9
B-1117,Meat,Chilled,B,2026-02-08,2026-02-13,175,Refrigerated,New York,R-1117,37,0.93,direct,100.0,0,13.2,48.9,1.565,High,66,5,0,5,0,High,5.6
B-1118,Milk,Chilled,C,2026-02-04,2026-02-11,213,Refrigerated,New York,R-1118,17,0.23,warehouse,62.1,9,24.7,89.1,1.565,High,77,7,9,-2,1,High,4.9
B-1119,Fish,Chilled,B,2026-02-08,2026-02-13,104,Refrigerated,Houston,R-1119,338,7.68,direct,87.0,3,18.7,86.6,1.7380000000000002,Medium,77,5,3,2,1,High,5.4
B-1120,Milk,Chilled,C,2026-02-04,2026-02-11,202,Refrigerated,Phoenix,R-1120,466,11.65,direct,95.2,1,6.2,37.3,1.8536,Medium,44,7,1,6,0,Medium,4.2
B-1121,Meat,Chilled,B,2026-02-05,2026-02-10,220,Refrigerated,Phoenix,R-1121,42,0.84,direct,50.5,7,7.4,49.0,1.8536,Medium,81,5,7,-2,1,Medium,4.7
B-1122,Meat,Chilled,B,2026-02-09,2026-02-14,390,Refrigerated,Houston,R-1122,285,3.85,direct,74.2,8,7.8,39.8,1.7380000000000002,Medium,90,5,8,-3,1,Medium,5.5
B-1123,Meat,Chilled,B,2026-02-06,2026-02-11,95,Refrigerated,New York,R-1123,153,1.96,direct,55.1,6,3.0,32.6,1.565,High,66,5,6,-1,1,Medium,4.1
B-1124,Milk,Chilled,B,2026-02-02,2026-02-09,248,Refrigerated,Phoenix,R-1124,459,8.66,warehouse,49.4,7,13.6,79.4,1.8536,Medium,44,7,7,0,1,High,2.8
B-1125,Onion,Fresh,A,2026-02-07,2026-02-21,267,Ambient,Houston,R-1125,482,6.69,direct,85.0,4,15.7,40.2,1.7380000000000002,Medium,84,14,4,10,0,Medium,5.4
B-1126,Onion,Fresh,A,2026-02-03,2026-02-17,155,Ambient,Phoenix,R-1126,217,3.95,warehouse,81.6,7,21.8,35.7,1.8536,Medium,99,14,7,7,0,Medium,6.2
B-1127,Onion,Fresh,A,2026-02-09,2026-02-23,455,Ambient,New York,R-1127,468,6.59,warehouse,62.2,7,15.1,48.6,1.565,High,69,14,7,7,0,Medium,4.2
B-1128,Fish,Chilled,C,2026-02-09,2026-02-14,299,Refrigerated,Chicago,R-1128,214,3.06,direct,62.9,8,10.3,31.6,1.7147999999999999,Medium,52,5,8,-3,1,Medium,3.8
B-1129,Tomato,Fresh,B,2026-02-08,2026-02-22,106,Ambient,New York,R-1129,488,8.87,direct,77.7,10,14.3,84.3,1.565,High,99,14,10,4,0,Medium,5.8
B-1130,Tomato,Fresh,A,2026-02-07,2026-02-21,119,Ambient,Los Angeles,R-1130,425,9.66,warehouse,73.8,5,3.9,65.9,1.686,Medium,77,14,5,9,0,Medium,4.9
B-1131,Fish,Chilled,A,2026-02-01,2026-02-06,497,Refrigerated,Los Angeles,R-1131,404,8.08,warehouse,86.6,2,4.6,30.3,1.686,Medium,46,5,2,3,0,Medium,4.0
B-1132,Milk,Chilled,A,2026-02-06,2026-02-13,490,Refrigerated,Los Angeles,R-1132,500,10.2,direct,100.0,0,19.8,49.3,1.686,Medium,56,7,0,7,0,High,4.7
B-1133,Tomato,Fresh,B,2026-02-09,2026-02-23,303,Ambient,Los Angeles,R-1133,425,6.25,warehouse,74.1,9,14.1,64.5,1.686,Medium,77,14,9,5,0,Medium,4.9
B-1134,Fish,Chilled,A,2026-02-05,2026-02-10,243,Refrigerated,Houston,R-1134,407,9.69,direct,90.7,2,23.9,32.0,1.7380000000000002,Medium,77,5,2,3,0,High,5.4
B-1135,Meat,Chilled,C,2026-02-02,2026-02-07,93,Refrigerated,Chicago,R-1135,342,5.26,direct,41.5,7,14.2,67.1,1.7147999999999999,Medium,91,5,7,-2,1,High,4.5
B-1136,Meat,Chilled,C,2026-02-03,2026-02-08,151,Refrigerated,Houston,R-1136,484,6.45,warehouse,77.9,8,11.4,84.5,1.7380000000000002,Medium,90,5,8,-3,1,High,5.5
B-1137,Onion,Fresh,B,2026-02-01,2026-02-15,241,Ambient,Chicago,R-1137,113,2.63,direct,91.2,4,11.2,84.0,1.7147999999999999,Medium,55,14,4,10,0,Medium,4.8
