batch_id,product_name,product_type,quality_grade,produced_date,expiry_date,quantity,storage_type,city
B-1027,Fish,Chilled,B,2026-02-08,2026-02-13,158,Refrigerated,Los Angeles
B-1028,Milk,Chilled,B,2026-02-06,2026-02-13,247,Refrigerated,New York
B-1029,Onion,Fresh,B,2026-02-06,2026-02-20,172,Ambient,Los Angeles
B-1030,Fish,Chilled,A,2026-02-06,2026-02-11,427,Refrigerated,Chicago
B-1031,Milk,Chilled,C,2026-02-07,2026-02-14,158,Refrigerated,Phoenix
B-1032,Fish,Chilled,B,2026-02-05,2026-02-10,413,Refrigerated,Houston
B-1033,Tomato,Fresh,B,2026-02-06,2026-02-20,394,Ambient,New York
B-1034,Tomato,Fresh,C,2026-02-03,2026-02-17,242,Ambient,Chicago
B-1035,Onion,Fresh,A,2026-01-31,2026-02-14,183,Ambient,Phoenix
B-1036,Fish,Chilled,B,2026-01-31,2026-02-05,81,Refrigerated,New York
B-1037,Onion,Fresh,A,2026-02-04,2026-02-18,310,Ambient,Houston
B-1038,Meat,Chilled,A,2026-02-03,2026-02-08,418,Refrigerated,Chicago
B-1039,Milk,Chilled,B,2026-02-03,2026-02-10,296,Refrigerated,New York
B-1040,Tomato,Fresh,A,2026-02-09,2026-02-23,493,Ambient,Houston
B-1041,Fish,Chilled,A,2026-01-31,2026-02-05,269,Refrigerated,Phoenix
B-1042,Onion,Fresh,C,2026-02-08,2026-02-22,396,Ambient,Los Angeles
B-1043,Fish,Chilled,B,2026-02-08,2026-02-13,266,Refrigerated,Los Angeles
B-1044,Fish,Chilled,A,2026-01-31,2026-02-05,223,Refrigerated,Chicago
B-1045,Meat,Chilled,A,2026-02-05,2026-02-10,113,Refrigerated,Houston
B-1046,Fish,Chilled,B,2026-02-09,2026-02-14,80,Refrigerated,Los Angeles
B-1047,Fish,Chilled,B,2026-02-05,2026-02-10,137,Refrigerated,Chicago
B-1048,Fish,Chilled,C,2026-01-31,2026-02-05,192,Refrigerated,Chicago
B-1049,Tomato,Fresh,C,2026-02-07,2026-02-21,348,Ambient,New York
B-1050,Meat,Chilled,A,2026-02-02,2026-02-07,441,Refrigerated,Houston
B-1051,Meat,Chilled,C,2026-02-01,2026-02-06,70,Refrigerated,New York
B-1052,Milk,Chilled,B,2026-02-09,2026-02-16,303,Refrigerated,Los Angeles
B-1053,Tomato,Fresh,B,2026-02-04,2026-02-18,466,Ambient,Los Angeles
B-1054,Tomato,Fresh,A,2026-02-03,2026-02-17,104,Ambient,Houston
B-1055,Meat,Chilled,B,2026-02-03,2026-02-08,252,Refrigerated,Chicago
B-1056,Onion,Fresh,B,2026-02-09,2026-02-23,268,Ambient,Houston
B-1057,Milk,Chilled,A,2026-02-09,2026-02-16,215,Refrigerated,Chicago
B-1058,Tomato,Fresh,A,2026-02-03,2026-02-17,252,Ambient,New York
B-1059,Meat,Chilled,B,2026-02-08,2026-02-13,459,Refrigerated,Chicago
B-1060,Meat,Chilled,C,2026-02-05,2026-02-10,264,Refrigerated,Houston
B-1061,Meat,Chilled,B,2026-02-06,2026-02-11,193,Refrigerated,New York
B-1062,Milk,Chilled,A,2026-02-01,2026-02-08,357,Refrigerated,Los Angeles
B-1063,Tomato,Fresh,B,2026-02-03,2026-02-17,438,Ambient,Los Angeles
B-1064,Onion,Fresh,A,2026-01-31,2026-02-14,164,Ambient,New York
B-1065,Fish,Chilled,C,2026-02-07,2026-02-12,480,Refrigerated,New York
B-1066,Meat,Chilled,C,2026-02-06,2026-02-11,53,Refrigerated,Los Angeles
B-1067,Meat,Chilled,C,2026-02-09,2026-02-14,419,Refrigerated,Houston
B-1068,Tomato,Fresh,B,2026-01-31,2026-02-14,409,Ambient,New York
B-1069,Onion,Fresh,A,2026-02-04,2026-02-18,402,Ambient,New York
B-1070,Tomato,Fresh,A,2026-02-01,2026-02-15,317,Ambient,Phoenix
B-1071,Tomato,Fresh,C,2026-02-09,2026-02-23,384,Ambient,New York
B-1072,Tomato,Fresh,C,2026-02-03,2026-02-17,413,Ambient,New York
B-1073,Tomato,Fresh,B,2026-02-03,2026-02-17,367,Ambient,Phoenix
B-1074,Onion,Fresh,C,2026-02-04,2026-02-18,150,Ambient,Los Angeles
B-1075,Tomato,Fresh,A,2026-01-31,2026-02-14,390,Ambient,Los Angeles
B-1076,Onion,Fresh,A,2026-02-01,2026-02-15,136,Ambient,New York
B-1077,Milk,Chilled,A,2026-02-09,2026-02-16,252,Refrigerated,New York
B-1078,Tomato,Fresh,B,2026-02-06,2026-02-20,232,Ambient,Chicago
B-1079,Milk,Chilled,B,2026-02-01,2026-02-08,235,Refrigerated,Phoenix
B-1080,Milk,Chilled,B,2026-02-05,2026-02-12,313,Refrigerated,Chicago
B-1081,Onion,Fresh,A,2026-02-04,2026-02-18,68,Ambient,Phoenix
B-1082,Meat,Chilled,C,2026-02-08,2026-02-13,133,Refrigerated,New York
B-1083,Meat,Chilled,A,2026-02-06,2026-02-11,262,Refrigerated,Chicago
B-1084,Meat,Chilled,A,2026-02-04,2026-02-09,407,Refrigerated,Los Angeles
B-1085,Fish,Chilled,A,2026-02-08,2026-02-13,226,Refrigerated,Chicago
B-1086,Tomato,Fresh,A,2026-02-07,2026-02-21,80,Ambient,Phoenix
B-1087,Onion,Fresh,C,2026-02-04,2026-02-18,75,Ambient,Los Angeles
B-1088,Milk,Chilled,B,2026-02-07,2026-02-14,161,Refrigerated,Chicago
B-1089,Onion,Fresh,A,2026-02-01,2026-02-15,165,Ambient,Phoenix
B-1090,Tomato,Fresh,B,2026-02-06,2026-02-20,188,Ambient,Phoenix
B-1091,Meat,Chilled,A,2026-02-08,2026-02-13,100,Refrigerated,Phoenix
B-1092,Tomato,Fresh,C,2026-02-03,2026-02-17,496,Ambient,New York
B-1093,Onion,Fresh,B,2026-02-02,2026-02-16,286,Ambient,Houston
B-1094,Milk,Chilled,A,2026-02-08,2026-02-15,277,Refrigerated,Chicago
B-1095,Milk,Chilled,C,2026-02-07,2026-02-14,232,Refrigerated,Phoenix
B-1096,Tomato,Fresh,A,2026-02-06,2026-02-20,313,Ambient,Phoenix
B-1097,Onion,Fresh,B,2026-02-06,2026-02-20,399,Ambient,Phoenix
B-1098,Fish,Chilled,B,2026-02-05,2026-02-10,414,Refrigerated,Chicago
B-1099,Onion,Fresh,C,2026-02-06,2026-02-20,270,Ambient,Los Angeles
B-1100,Meat,Chilled,C,2026-02-02,2026-02-07,241,Refrigerated,Los Angeles
B-1101,Fish,Chilled,A,2026-02-04,2026-02-09,276,Refrigerated,New York
B-1102,Onion,Fresh,B,2026-02-03,2026-02-17,129,Ambient,Chicago
B-1103,Fish,Chilled,A,2026-02-08,2026-02-13,257,Refrigerated,Phoenix
B-1104,Milk,Chilled,C,2026-02-07,2026-02-14,292,Refrigerated,Phoenix
B-1105,Onion,Fresh,C,2026-02-08,2026-02-22,414,Ambient,Houston
B-1106,Meat,Chilled,C,2026-02-07,2026-02-12,376,Refrigerated,New York
B-1107,Meat,Chilled,A,2026-02-09,2026-02-14,421,Refrigerated,Los Angeles
B-1108,Meat,Chilled,C,2026-02-01,2026-02-06,314,Refrigerated,Los Angeles
B-1109,Onion,Fresh,A,2026-02-02,2026-02-16,313,Ambient,New York
B-1110,Meat,Chilled,A,2026-02-02,2026-02-07,379,Refrigerated,Houston
B-1111,Tomato,Fresh,A,2026-01-31,2026-02-14,446,Ambient,Los Angeles
B-1112,Milk,Chilled,A,2026-02-08,2026-02-15,126,Refrigerated,Phoenix
B-1113,Fish,Chilled,B,2026-02-04,2026-02-09,493,Refrigerated,New York
B-1114,Onion,Fresh,B,2026-02-02,2026-02-16,183,Ambient,Phoenix
B-1115,Fish,Chilled,C,2026-02-09,2026-02-14,336,Refrigerated,New York
B-1116,Onion,Fresh,A,2026-02-03,2026-02-17,122,Ambient,Los Angeles
B-1117,Onion,Fresh,C,2026-02-05,2026-02-19,355,Ambient,Los Angeles
B-1118,Onion,Fresh,C,2026-02-07,2026-02-21,356,Ambient,Chicago
B-1119,Onion,Fresh,B,2026-02-09,2026-02-23,256,Ambient,Chicago
B-1120,Milk,Chilled,C,2026-01-31,2026-02-07,62,Refrigerated,Phoenix
B-1121,Fish,Chilled,C,2026-02-03,2026-02-08,403,Refrigerated,Phoenix
B-1122,Milk,Chilled,C,2026-02-08,2026-02-15,377,Refrigerated,Los Angeles
B-1123,Onion,Fresh,B,2026-01-31,2026-02-14,146,Ambient,Chicago
B-1124,Onion,Fresh,C,2026-02-02,2026-02-16,391,Ambient,Houston
B-1125,Tomato,Fresh,B,2026-02-05,2026-02-19,180,Ambient,Los Angeles
B-1126,Onion,Fresh,B,2026-02-06,2026-02-20,311,Ambient,Houston
B-1127,Meat,Chilled,A,2026-02-03,2026-02-08,239,Refrigerated,Chicago
B-1128,Tomato,Fresh,A,2026-02-04,2026-02-18,499,Ambient,Los Angeles
B-1129,Fish,Chilled,B,2026-02-03,2026-02-08,110,Refrigerated,Phoenix
B-1130,Milk,Chilled,B,2026-02-07,2026-02-14,231,Refrigerated,Chicago
B-1131,Milk,Chilled,B,2026-02-05,2026-02-12,360,Refrigerated,Houston
B-1132,Fish,Chilled,B,2026-02-04,2026-02-09,307,Refrigerated,Phoenix
B-1133,Onion,Fresh,C,2026-02-07,2026-02-21,145,Ambient,Chicago
B-1134,Tomato,Fresh,A,2026-02-02,2026-02-16,482,Ambient,Phoenix
B-1135,Meat,Chilled,A,2026-01-31,2026-02-05,398,Refrigerated,Phoenix
B-1136,Milk,Chilled,C,2026-02-03,2026-02-10,87,Refrigerated,Chicago
B-1137,Milk,Chilled,A,2026-02-09,2026-02-16,83,Refrigerated,Chicago
B-1138,Tomato,Fresh,B,2026-02-09,2026-02-23,175,Ambient,Chicago
B-1139,Meat,Chilled,B,2026-02-01,2026-02-06,319,Refrigerated,New York
B-1140,Meat,Chilled,A,2026-02-03,2026-02-08,361,Refrigerated,Chicago
B-1141,Meat,Chilled,B,2026-02-08,2026-02-13,84,Refrigerated,Phoenix
B-1142,Tomato,Fresh,C,2026-02-07,2026-02-21,334,Ambient,Chicago
B-1143,Milk,Chilled,A,2026-01-31,2026-02-07,491,Refrigerated,Phoenix
B-1144,Milk,Chilled,C,2026-02-07,2026-02-14,138,Refrigerated,Phoenix
B-1145,Onion,Fresh,B,2026-02-02,2026-02-16,235,Ambient,Los Angeles
B-1146,Milk,Chilled,C,2026-02-05,2026-02-12,91,Refrigerated,Chicago
B-1147,Milk,Chilled,B,2026-02-06,2026-02-13,430,Refrigerated,Houston
B-1148,Meat,Chilled,B,2026-02-03,2026-02-08,473,Refrigerated,Chicago
B-1149,Onion,Fresh,B,2026-02-07,2026-02-21,240,Ambient,Los Angeles
B-1150,Tomato,Fresh,C,2026-02-05,2026-02-19,488,Ambient,Los Angeles
B-1151,Tomato,Fresh,A,2026-02-09,2026-02-23,296,Ambient,Chicago
B-1152,Tomato,Fresh,A,2026-02-02,2026-02-16,137,Ambient,Houston
B-1153,Milk,Chilled,A,2026-02-09,2026-02-16,484,Refrigerated,Phoenix
B-1154,Meat,Chilled,B,2026-02-03,2026-02-08,365,Refrigerated,Houston
B-1155,Tomato,Fresh,C,2026-02-08,2026-02-22,111,Ambient,New York
B-1156,Onion,Fresh,A,2026-01-31,2026-02-14,183,Ambient,Phoenix
B-1157,Fish,Chilled,A,2026-02-02,2026-02-07,167,Refrigerated,Chicago
B-1158,Fish,Chilled,B,2026-01-31,2026-02-05,346,Refrigerated,Los Angeles
B-1159,Meat,Chilled,C,2026-02-05,2026-02-10,107,Refrigerated,Phoenix
B-1160,Milk,Chilled,C,2026-02-01,2026-02-08,500,Refrigerated,Houston
B-1161,Tomato,Fresh,A,2026-02-01,2026-02-15,79,Ambient,Los Angeles
B-1162,Tomato,Fresh,A,2026-02-09,2026-02-23,372,Ambient,Chicago
B-1163,Onion,Fresh,C,2026-02-01,2026-02-15,79,Ambient,Los Angeles
B-1164,Milk,Chilled,B,2026-02-02,2026-02-09,74,Refrigerated,Los Angeles
B-1165,Onion,Fresh,B,2026-02-05,2026-02-19,294,Ambient,Los Angeles
B-1166,Fish,Chilled,C,2026-01-31,2026-02-05,465,Refrigerated,Houston
B-1167,Meat,Chilled,B,2026-02-02,2026-02-07,203,Refrigerated,Chicago
B-1168,Tomato,Fresh,C,2026-02-02,2026-02-16,265,Ambient,Phoenix
B-1169,Milk,Chilled,C,2026-02-06,2026-02-13,365,Refrigerated,Houston
B-1170,Fish,Chilled,B,2026-02-08,2026-02-13,271,Refrigerated,Los Angeles
B-1171,Meat,Chilled,B,2026-02-09,2026-02-14,192,Refrigerated,Chicago
B-1172,Milk,Chilled,B,2026-02-06,2026-02-13,345,Refrigerated,New York
B-1173,Tomato,Fresh,A,2026-02-09,2026-02-23,454,Ambient,Los Angeles
B-1174,Tomato,Fresh,C,2026-02-07,2026-02-21,303,Ambient,Los Angeles
B-1175,Milk,Chilled,A,2026-02-07,2026-02-14,76,Refrigerated,Phoenix
B-1176,Milk,Chilled,C,2026-02-09,2026-02-16,500,Refrigerated,Chicago
B-1177,Onion,Fresh,B,2026-02-03,2026-02-17,92,Ambient,Houston
B-1178,Milk,Chilled,A,2026-02-06,2026-02-13,105,Refrigerated,Chicago
B-1179,Fish,Chilled,C,2026-02-03,2026-02-08,77,Refrigerated,Phoenix
B-1180,Tomato,Fresh,B,2026-02-02,2026-02-16,195,Ambient,Phoenix
B-1181,Tomato,Fresh,C,2026-02-02,2026-02-16,401,Ambient,Los Angeles
B-1182,Milk,Chilled,B,2026-02-04,2026-02-11,103,Refrigerated,Phoenix
B-1183,Meat,Chilled,C,2026-02-05,2026-02-10,476,Refrigerated,Los Angeles
B-1184,Onion,Fresh,C,2026-02-04,2026-02-18,208,Ambient,Los Angeles
B-1185,Milk,Chilled,B,2026-02-01,2026-02-08,187,Refrigerated,Phoenix
B-1186,Fish,Chilled,A,2026-02-04,2026-02-09,365,Refrigerated,Chicago
B-1187,Milk,Chilled,A,2026-02-09,2026-02-16,305,Refrigerated,Los Angeles
B-1188,Onion,Fresh,C,2026-02-04,2026-02-18,180,Ambient,Chicago
B-1189,Onion,Fresh,A,2026-02-06,2026-02-20,225,Ambient,Los Angeles
B-1190,Milk,Chilled,C,2026-02-03,2026-02-10,357,Refrigerated,Los Angeles
B-1191,Tomato,Fresh,C,2026-01-31,2026-02-14,220,Ambient,Los Angeles
B-1192,Fish,Chilled,C,2026-01-31,2026-02-05,217,Refrigerated,Phoenix
B-1193,Milk,Chilled,C,2026-02-07,2026-02-14,293,Refrigerated,Phoenix
B-1194,Tomato,Fresh,A,2026-02-06,2026-02-20,72,Ambient,Phoenix
B-1195,Meat,Chilled,B,2026-02-01,2026-02-06,491,Refrigerated,Houston
B-1196,Meat,Chilled,C,2026-02-02,2026-02-07,389,Refrigerated,Los Angeles
B-1197,Milk,Chilled,B,2026-02-09,2026-02-16,497,Refrigerated,Los Angeles
B-1198,Tomato,Fresh,A,2026-02-01,2026-02-15,391,Ambient,New York
B-1199,Onion,Fresh,C,2026-02-04,2026-02-18,294,Ambient,Los Angeles
B-1200,Milk,Chilled,B,2026-02-04,2026-02-11,225,Refrigerated,New York
B-1201,Tomato,Fresh,A,2026-02-03,2026-02-17,211,Ambient,Phoenix
B-1202,Milk,Chilled,B,2026-02-07,2026-02-14,497,Refrigerated,Phoenix
B-1203,Tomato,Fresh,B,2026-02-03,2026-02-17,464,Ambient,Houston
B-1204,Onion,Fresh,B,2026-02-04,2026-02-18,417,Ambient,New York
B-1205,Tomato,Fresh,C,2026-02-03,2026-02-17,205,Ambient,Houston
B-1206,Tomato,Fresh,B,2026-02-09,2026-02-23,398,Ambient,Houston
B-1207,Fish,Chilled,A,2026-02-09,2026-02-14,364,Refrigerated,New York
B-1208,Tomato,Fresh,A,2026-02-09,2026-02-23,422,Ambient,Chicago
B-1209,Fish,Chilled,B,2026-02-09,2026-02-14,452,Refrigerated,New York
B-1210,Meat,Chilled,B,2026-02-02,2026-02-07,81,Refrigerated,New York
B-1211,Onion,Fresh,B,2026-02-02,2026-02-16,482,Ambient,Houston
B-1212,Onion,Fresh,B,2026-02-07,2026-02-21,249,Ambient,Phoenix
B-1213,Onion,Fresh,B,2026-02-09,2026-02-23,285,Ambient,Los Angeles
B-1214,Meat,Chilled,B,2026-02-01,2026-02-06,52,Refrigerated,Phoenix
B-1215,Fish,Chilled,C,2026-02-08,2026-02-13,394,Refrigerated,Chicago
B-1216,Meat,Chilled,B,2026-01-31,2026-02-05,175,Refrigerated,Los Angeles
B-1217,Fish,Chilled,A,2026-02-05,2026-02-10,163,Refrigerated,New York
B-1218,Tomato,Fresh,A,2026-02-05,2026-02-19,78,Ambient,Chicago
B-1219,Milk,Chilled,C,2026-02-04,2026-02-11,53,Refrigerated,New York
B-1220,Tomato,Fresh,C,2026-02-07,2026-02-21,349,Ambient,Chicago
B-1221,Milk,Chilled,B,2026-02-04,2026-02-11,402,Refrigerated,New York
B-1222,Onion,Fresh,B,2026-01-31,2026-02-14,461,Ambient,Phoenix
B-1223,Meat,Chilled,C,2026-02-09,2026-02-14,203,Refrigerated,Chicago
B-1224,Tomato,Fresh,C,2026-02-08,2026-02-22,206,Ambient,Houston
B-1225,Fish,Chilled,B,2026-02-05,2026-02-10,298,Refrigerated,Los Angeles
B-1226,Milk,Chilled,C,2026-02-09,2026-02-16,392,Refrigerated,Chicago
B-1227,Milk,Chilled,B,2026-02-09,2026-02-16,137,Refrigerated,Los Angeles
B-1228,Fish,Chilled,B,2026-02-09,2026-02-14,150,Refrigerated,Los Angeles
B-1229,Meat,Chilled,B,2026-02-02,2026-02-07,51,Refrigerated,New York
B-1230,Milk,Chilled,B,2026-02-09,2026-02-16,396,Refrigerated,Chicago
B-1231,Onion,Fresh,A,2026-02-07,2026-02-21,471,Ambient,Phoenix
B-1232,Milk,Chilled,A,2026-02-02,2026-02-09,499,Refrigerated,New York
B-1233,Onion,Fresh,C,2026-02-08,2026-02-22,161,Ambient,New York
B-1234,Onion,Fresh,A,2026-02-09,2026-02-23,73,Ambient,Los Angeles
B-1235,Fish,Chilled,B,2026-02-01,2026-02-06,404,Refrigerated,New York
B-1236,Fish,Chilled,A,2026-02-03,2026-02-08,394,Refrigerated,Phoenix
B-1237,Milk,Chilled,C,2026-02-06,2026-02-13,303,Refrigerated,Chicago
B-1238,Tomato,Fresh,C,2026-01-31,2026-02-14,451,Ambient,Chicago
B-1239,Onion,Fresh,A,2026-02-02,2026-02-16,335,Ambient,New York
B-1240,Onion,Fresh,A,2026-02-05,2026-02-19,303,Ambient,Phoenix
B-1241,Milk,Chilled,A,2026-02-09,2026-02-16,245,Refrigerated,New York
B-1242,Milk,Chilled,A,2026-02-08,2026-02-15,290,Refrigerated,Houston
B-1243,Meat,Chilled,B,2026-02-07,2026-02-12,286,Refrigerated,Houston
B-1244,Meat,Chilled,A,2026-02-07,2026-02-12,248,Refrigerated,Los Angeles
B-1245,Tomato,Fresh,C,2026-02-07,2026-02-21,443,Ambient,Chicago
B-1246,Milk,Chilled,A,2026-02-07,2026-02-14,106,Refrigerated,Los Angeles
B-1247,Fish,Chilled,C,2026-02-04,2026-02-09,315,Refrigerated,New York
B-1248,Fish,Chilled,C,2026-02-03,2026-02-08,276,Refrigerated,Phoenix
B-1249,Meat,Chilled,B,2026-02-09,2026-02-14,494,Refrigerated,Phoenix
B-1250,Fish,Chilled,A,2026-02-06,2026-02-11,140,Refrigerated,Chicago
B-1251,Onion,Fresh,B,2026-02-08,2026-02-22,377,Ambient,Houston
B-1252,Fish,Chilled,C,2026-02-02,2026-02-07,205,Refrigerated,Los Angeles
B-1253,Onion,Fresh,B,2026-02-04,2026-02-18,126,Ambient,Los Angeles
B-1254,Fish,Chilled,B,2026-02-08,2026-02-13,160,Refrigerated,Los Angeles
B-1255,Onion,Fresh,B,2026-02-02,2026-02-16,239,Ambient,Los Angeles
B-1256,Milk,Chilled,C,2026-02-04,2026-02-11,327,Refrigerated,Chicago
B-1257,Onion,Fresh,A,2026-02-03,2026-02-17,166,Ambient,Chicago
B-1258,Tomato,Fresh,B,2026-02-02,2026-02-16,258,Ambient,Phoenix
B-1259,Meat,Chilled,A,2026-02-04,2026-02-09,125,Refrigerated,Phoenix
B-1260,Tomato,Fresh,A,2026-02-06,2026-02-20,425,Ambient,Los Angeles
B-1261,Meat,Chilled,C,2026-02-05,2026-02-10,91,Refrigerated,Los Angeles
B-1262,Milk,Chilled,A,2026-02-02,2026-02-09,286,Refrigerated,Chicago
B-1263,Meat,Chilled,B,2026-02-08,2026-02-13,215,Refrigerated,New York
B-1264,Milk,Chilled,A,2026-02-07,2026-02-14,385,Refrigerated,Phoenix
B-1265,Fish,Chilled,B,2026-01-31,2026-02-05,208,Refrigerated,Phoenix
B-1266,Meat,Chilled,C,2026-02-03,2026-02-08,301,Refrigerated,New York
B-1267,Milk,Chilled,C,2026-02-04,2026-02-11,255,Refrigerated,Phoenix
B-1268,Tomato,Fresh,A,2026-02-03,2026-02-17,440,Ambient,Phoenix
B-1269,Milk,Chilled,C,2026-02-06,2026-02-13,117,Refrigerated,Chicago
B-1270,Fish,Chilled,B,2026-02-03,2026-02-08,212,Refrigerated,Phoenix
B-1271,Milk,Chilled,A,2026-02-08,2026-02-15,377,Refrigerated,Phoenix
B-1272,Tomato,Fresh,C,2026-02-05,2026-02-19,138,Ambient,Chicago
B-1273,Tomato,Fresh,A,2026-02-07,2026-02-21,79,Ambient,Chicago
B-1274,Tomato,Fresh,A,2026-02-02,2026-02-16,377,Ambient,New York
B-1275,Fish,Chilled,C,2026-02-05,2026-02-10,479,Refrigerated,Houston
B-1276,Meat,Chilled,B,2026-02-01,2026-02-06,123,Refrigerated,Chicago
B-1277,Fish,Chilled,B,2026-01-31,2026-02-05,246,Refrigerated,Houston
B-1278,Milk,Chilled,A,2026-02-06,2026-02-13,233,Refrigerated,New York
B-1279,Meat,Chilled,C,2026-02-02,2026-02-07,479,Refrigerated,Chicago
B-1280,Milk,Chilled,A,2026-02-03,2026-02-10,481,Refrigerated,Chicago
B-1281,Milk,Chilled,B,2026-02-03,2026-02-10,140,Refrigerated,Phoenix
B-1282,Meat,Chilled,A,2026-02-03,2026-02-08,371,Refrigerated,Los Angeles
B-1283,Tomato,Fresh,A,2026-02-09,2026-02-23,409,Ambient,Los Angeles
B-1284,Tomato,Fresh,C,2026-02-09,2026-02-23,324,Ambient,Phoenix
B-1285,Meat,Chilled,A,2026-02-09,2026-02-14,439,Refrigerated,Houston
B-1286,Meat,Chilled,B,2026-01-31,2026-02-05,404,Refrigerated,Los Angeles
B-1287,Fish,Chilled,A,2026-02-02,2026-02-07,490,Refrigerated,Phoenix
B-1288,Onion,Fresh,A,2026-02-07,2026-02-21,499,Ambient,Los Angeles
B-1289,Tomato,Fresh,B,2026-02-03,2026-02-17,370,Ambient,New York
B-1290,Milk,Chilled,A,2026-02-03,2026-02-10,496,Refrigerated,Phoenix
B-1291,Meat,Chilled,A,2026-02-01,2026-02-06,483,Refrigerated,Houston
B-1292,Fish,Chilled,C,2026-02-06,2026-02-11,52,Refrigerated,Los Angeles
B-1293,Tomato,Fresh,B,2026-02-06,2026-02-20,278,Ambient,Houston
B-1294,Milk,Chilled,C,2026-02-05,2026-02-12,457,Refrigerated,Phoenix
B-1295,Milk,Chilled,C,2026-01-31,2026-02-07,109,Refrigerated,Los Angeles
B-1296,Tomato,Fresh,A,2026-01-31,2026-02-14,55,Ambient,Los Angeles
B-1297,Milk,Chilled,B,2026-02-09,2026-02-16,272,Refrigerated,Houston
B-1298,Meat,Chilled,B,2026-02-08,2026-02-13,374,Refrigerated,Chicago
B-1299,Meat,Chilled,A,2026-02-02,2026-02-07,188,Refrigerated,Houston
B-1300,Fish,Chilled,A,2026-02-02,2026-02-07,73,Refrigerated,Phoenix
B-1301,Fish,Chilled,A,2026-02-05,2026-02-10,391,Refrigerated,Los Angeles
B-1302,Fish,Chilled,C,2026-02-05,2026-02-10,483,Refrigerated,New York
B-1303,Tomato,Fresh,B,2026-02-01,2026-02-15,418,Ambient,Houston
B-1304,Milk,Chilled,C,2026-02-07,2026-02-14,163,Refrigerated,New York
B-1305,Tomato,Fresh,B,2026-02-04,2026-02-18,255,Ambient,New York
B-1306,Fish,Chilled,B,2026-02-08,2026-02-13,334,Refrigerated,Phoenix
B-1307,Milk,Chilled,B,2026-02-04,2026-02-11,448,Refrigerated,Los Angeles
B-1308,Meat,Chilled,A,2026-02-04,2026-02-09,94,Refrigerated,Phoenix
B-1309,Tomato,Fresh,C,2026-02-03,2026-02-17,465,Ambient,Chicago
B-1310,Milk,Chilled,A,2026-02-02,2026-02-09,472,Refrigerated,Phoenix
B-1311,Onion,Fresh,B,2026-02-01,2026-02-15,441,Ambient,Chicago
B-1312,Onion,Fresh,A,2026-02-01,2026-02-15,467,Ambient,New York
B-1313,Onion,Fresh,B,2026-01-31,2026-02-14,299,Ambient,Houston
B-1314,Meat,Chilled,A,2026-02-03,2026-02-08,481,Refrigerated,Chicago
B-1315,Fish,Chilled,B,2026-02-05,2026-02-10,59,Refrigerated,Los Angeles
B-1316,Tomato,Fresh,B,2026-02-06,2026-02-20,433,Ambient,Phoenix
B-1317,Onion,Fresh,B,2026-02-08,2026-02-22,117,Ambient,Houston
B-1318,Meat,Chilled,A,2026-02-01,2026-02-06,310,Refrigerated,Chicago
