route_id,batch_id,distance_km,estimated_time_hours,route_type
R-1070,B-1070,321,5.26,direct
R-1071,B-1071,77,1.83,direct
R-1072,B-1072,101,1.6,warehouse
R-1073,B-1073,349,4.72,direct
R-1074,B-1074,345,5.56,warehouse
R-1075,B-1075,207,2.8,direct
R-1076,B-1076,195,2.57,warehouse
R-1077,B-1077,195,4.88,direct
R-1078,B-1078,429,8.94,warehouse
R-1079,B-1079,49,0.72,warehouse
R-1080,B-1080,357,4.76,direct
R-1081,B-1081,389,8.1,warehouse
R-1082,B-1082,71,0.93,direct
R-1083,B-1083,466,7.9,direct
R-1084,B-1084,348,4.97,warehouse
R-1085,B-1085,38,0.73,direct
R-1086,B-1086,438,9.95,warehouse
R-1087,B-1087,314,5.92,warehouse
R-1088,B-1088,436,7.93,direct
R-1089,B-1089,134,1.81,direct
R-1090,B-1090,281,5.2,warehouse
R-1091,B-1091,371,9.28,direct
R-1092,B-1092,261,4.5,warehouse
R-1093,B-1093,325,5.51,direct
R-1094,B-1094,351,7.8,warehouse
R-1095,B-1095,419,5.51,direct
R-1096,B-1096,231,4.28,warehouse
R-1097,B-1097,490,12.25,direct
R-1098,B-1098,468,11.41,direct
R-1099,B-1099,283,5.34,direct
R-1100,B-1100,307,5.9,warehouse
R-1101,B-1101,302,4.03,direct
R-1102,B-1102,91,2.22,direct
R-1103,B-1103,345,4.93,direct
R-1104,B-1104,368,6.13,warehouse
R-1105,B-1105,282,5.22,warehouse
R-1106,B-1106,376,6.84,direct
R-1107,B-1107,242,3.27,direct
R-1108,B-1108,219,4.29,direct
R-1109,B-1109,290,5.27,warehouse
R-1110,B-1110,80,1.48,direct
R-1111,B-1111,256,3.66,direct
R-1112,B-1112,333,4.97,warehouse
R-1113,B-1113,271,4.93,direct
R-1114,B-1114,229,4.87,direct
R-1115,B-1115,314,4.13,warehouse
R-1116,B-1116,360,8.78,warehouse
R-1117,B-1117,37,0.93,direct
R-1118,B-1118,17,0.23,warehouse
R-1119,B-1119,338,7.68,direct
R-1120,B-1120,466,11.65,direct
R-1121,B-1121,42,0.84,direct
R-1122,B-1122,285,3.85,direct
R-1123,B-1123,153,1.96,direct
R-1124,B-1124,459,8.66,warehouse
R-1125,B-1125,482,6.69,direct
R-1126,B-1126,217,3.95,warehouse
R-1127,B-1127,468,6.59,warehouse
R-1128,B-1128,214,3.06,direct
R-1129,B-1129,488,8.87,direct
R-1130,B-1130,425,9.66,warehouse
R-1131,B-1131,404,8.08,warehouse
R-1132,B-1132,500,10.2,direct
R-1133,B-1133,425,6.25,warehouse
R-1134,B-1134,407,9.69,direct
R-1135,B-1135,342,5.26,direct
R-1136,B-1136,484,6.45,warehouse
R-1137,B-1137,113,2.63,direct
R-1138,B-1138,424,8.48,direct
R-1139,B-1139,370,7.12,direct
R-1140,B-1140,429,6.4,direct
R-1141,B-1141,158,3.43,direct
R-1142,B-1142,47,0.68,warehouse
R-1143,B-1143,227,3.44,direct
R-1144,B-1144,217,3.68,direct
R-1145,B-1145,25,0.4,warehouse
R-1146,B-1146,147,2.1,warehouse
R-1147,B-1147,65,1.23,direct
R-1148,B-1148,498,7.43,warehouse
R-1149,B-1149,449,8.63,warehouse
R-1150,B-1150,148,1.87,warehouse
R-1151,B-1151,313,7.45,warehouse
R-1152,B-1152,169,2.56,warehouse
R-1153,B-1153,125,1.71,direct
R-1154,B-1154,287,4.42,direct
R-1155,B-1155,170,2.79,direct
R-1156,B-1156,167,3.55,direct
R-1157,B-1157,49,1.11,warehouse
R-1158,B-1158,33,0.46,direct
R-1159,B-1159,320,4.92,direct
R-1160,B-1160,178,2.34,direct
R-1161,B-1161,74,1.76,warehouse
R-1162,B-1162,222,4.93,direct
R-1163,B-1163,442,7.49,direct
R-1164,B-1164,419,5.59,warehouse
R-1165,B-1165,79,1.36,warehouse
R-1166,B-1166,55,0.77,direct
R-1167,B-1167,412,5.64,direct
R-1168,B-1168,347,5.34,direct
R-1169,B-1169,337,4.81,direct
R-1170,B-1170,355,4.93,warehouse
R-1171,B-1171,297,6.91,warehouse
R-1172,B-1172,386,7.72,warehouse
R-1173,B-1173,205,3.15,warehouse
R-1174,B-1174,182,2.72,direct
R-1175,B-1175,78,1.13,direct
R-1176,B-1176,142,2.49,warehouse
R-1177,B-1177,317,4.06,direct
R-1178,B-1178,338,4.39,warehouse
R-1179,B-1179,161,2.56,warehouse
R-1180,B-1180,16,0.23,direct
R-1181,B-1181,134,1.84,warehouse
R-1182,B-1182,149,2.13,direct
R-1183,B-1183,430,8.43,direct
R-1184,B-1184,337,4.27,warehouse
R-1185,B-1185,147,2.62,direct
R-1186,B-1186,395,7.75,direct
R-1187,B-1187,430,6.23,direct
R-1188,B-1188,26,0.45,direct
R-1189,B-1189,283,4.29,direct
R-1190,B-1190,63,1.31,direct
R-1191,B-1191,59,0.76,warehouse
R-1192,B-1192,267,3.42,warehouse
R-1193,B-1193,84,1.91,direct
R-1194,B-1194,265,4.82,warehouse
R-1195,B-1195,208,3.92,direct
R-1196,B-1196,498,11.32,warehouse
R-1197,B-1197,195,3.82,warehouse
R-1198,B-1198,100,1.89,direct
R-1199,B-1199,72,1.53,warehouse
R-1200,B-1200,412,5.35,warehouse
R-1201,B-1201,263,3.65,warehouse
R-1202,B-1202,25,0.51,warehouse
R-1203,B-1203,252,4.67,warehouse
R-1204,B-1204,360,6.21,direct
R-1205,B-1205,58,1.12,direct
R-1206,B-1206,231,3.16,warehouse
R-1207,B-1207,53,0.9,warehouse
R-1208,B-1208,480,6.23,direct
R-1209,B-1209,205,4.46,direct
R-1210,B-1210,319,4.04,direct
R-1211,B-1211,308,4.05,direct
R-1212,B-1212,35,0.45,direct
R-1213,B-1213,138,1.86,warehouse
R-1214,B-1214,417,6.73,direct
R-1215,B-1215,370,6.49,direct
R-1216,B-1216,456,6.42,direct
R-1217,B-1217,233,5.3,warehouse
R-1218,B-1218,310,4.25,direct
R-1219,B-1219,498,11.86,direct
R-1220,B-1220,360,9.0,warehouse
R-1221,B-1221,357,5.49,warehouse
R-1222,B-1222,292,6.21,direct
R-1223,B-1223,67,0.91,direct
R-1224,B-1224,434,5.79,warehouse
R-1225,B-1225,114,2.07,direct
R-1226,B-1226,11,0.17,direct
R-1227,B-1227,470,6.62,direct
R-1228,B-1228,104,1.32,warehouse
R-1229,B-1229,172,3.51,direct
R-1230,B-1230,11,0.17,direct
R-1231,B-1231,211,4.14,direct
R-1232,B-1232,172,3.07,warehouse
R-1233,B-1233,416,8.85,warehouse
R-1234,B-1234,213,2.84,warehouse
R-1235,B-1235,116,2.19,warehouse
R-1236,B-1236,108,1.48,direct
R-1237,B-1237,134,1.91,direct
R-1238,B-1238,385,4.87,warehouse
R-1239,B-1239,147,1.86,direct
R-1240,B-1240,90,2.09,warehouse
R-1241,B-1241,67,0.96,warehouse
R-1242,B-1242,398,6.03,direct
R-1243,B-1243,354,6.0,direct
R-1244,B-1244,476,6.1,warehouse
R-1245,B-1245,182,2.3,warehouse
R-1246,B-1246,407,8.66,direct
R-1247,B-1247,277,6.76,warehouse
R-1248,B-1248,28,0.37,warehouse
R-1249,B-1249,217,4.34,warehouse
R-1250,B-1250,342,4.62,warehouse
R-1251,B-1251,474,11.56,direct
R-1252,B-1252,472,8.14,direct
R-1253,B-1253,454,5.9,warehouse
R-1254,B-1254,204,2.87,direct
R-1255,B-1255,217,4.82,warehouse
R-1256,B-1256,438,6.54,direct
R-1257,B-1257,287,4.63,warehouse
R-1258,B-1258,347,4.45,warehouse
R-1259,B-1259,261,3.53,direct
R-1260,B-1260,466,6.13,warehouse
R-1261,B-1261,81,1.14,direct
R-1262,B-1262,375,6.82,direct
R-1263,B-1263,374,4.73,direct
R-1264,B-1264,13,0.19,direct
R-1265,B-1265,23,0.32,warehouse
R-1266,B-1266,135,1.71,direct
R-1267,B-1267,172,2.65,direct
R-1268,B-1268,315,5.16,warehouse
R-1269,B-1269,126,1.7,direct
R-1270,B-1270,441,5.96,warehouse
R-1271,B-1271,305,4.92,direct
R-1272,B-1272,341,5.09,warehouse
R-1273,B-1273,111,2.31,warehouse
R-1274,B-1274,274,3.47,direct
R-1275,B-1275,453,10.3,direct
R-1276,B-1276,236,3.93,direct
R-1277,B-1277,365,6.52,direct
R-1278,B-1278,196,2.76,direct
R-1279,B-1279,130,2.71,direct
R-1280,B-1280,481,7.18,warehouse
R-1281,B-1281,433,5.7,warehouse
R-1282,B-1282,130,1.71,warehouse
R-1283,B-1283,366,5.63,warehouse
R-1284,B-1284,218,3.3,direct
R-1285,B-1285,22,0.54,direct
R-1286,B-1286,69,0.96,warehouse
R-1287,B-1287,316,6.72,warehouse
R-1288,B-1288,173,2.66,warehouse
R-1289,B-1289,435,5.44,warehouse
R-1290,B-1290,134,2.58,warehouse
R-1291,B-1291,140,2.37,warehouse
R-1292,B-1292,340,6.18,warehouse
R-1293,B-1293,338,8.24,direct
R-1294,B-1294,68,0.89,warehouse
R-1295,B-1295,75,1.29,direct
R-1296,B-1296,484,7.56,direct
R-1297,B-1297,393,5.46,warehouse
R-1298,B-1298,430,9.35,direct
R-1299,B-1299,81,1.33,direct
R-1300,B-1300,390,6.19,direct
R-1301,B-1301,68,1.26,direct
R-1302,B-1302,89,1.51,warehouse
R-1303,B-1303,219,4.47,warehouse
R-1304,B-1304,205,3.53,direct
R-1305,B-1305,97,2.31,warehouse
R-1306,B-1306,175,4.27,warehouse
R-1307,B-1307,251,4.33,warehouse
R-1308,B-1308,148,1.92,warehouse
R-1309,B-1309,40,0.5,warehouse
R-1310,B-1310,365,5.79,warehouse
R-1311,B-1311,221,4.33,direct
R-1312,B-1312,400,6.78,warehouse
R-1313,B-1313,127,1.81,direct
R-1314,B-1314,195,2.64,direct
R-1315,B-1315,219,3.71,direct
R-1316,B-1316,476,10.82,direct
R-1317,B-1317,190,2.68,warehouse
R-1318,B-1318,321,6.06,warehouse
R-1319,B-1319,367,5.24,direct
R-1320,B-1320,174,2.68,warehouse
R-1321,B-1321,348,7.57,warehouse
R-1322,B-1322,111,2.27,direct
R-1323,B-1323,99,1.77,direct
R-1324,B-1324,11,0.19,warehouse
R-1325,B-1325,163,3.2,direct
R-1326,B-1326,385,5.5,warehouse
R-1327,B-1327,442,10.28,direct
R-1328,B-1328,195,3.61,direct
R-1329,B-1329,131,1.68,direct
R-1330,B-1330,312,5.67,direct
R-1331,B-1331,342,4.62,warehouse
R-1332,B-1332,419,6.76,warehouse
R-1333,B-1333,66,1.29,direct
R-1334,B-1334,291,4.62,direct
R-1335,B-1335,105,1.48,warehouse
R-1336,B-1336,235,3.51,direct
R-1337,B-1337,388,5.88,warehouse
R-1338,B-1338,90,1.58,warehouse
R-1339,B-1339,358,5.42,warehouse
R-1340,B-1340,22,0.43,warehouse
R-1341,B-1341,233,3.82,direct
R-1342,B-1342,323,7.18,warehouse
R-1343,B-1343,340,5.76,direct
R-1344,B-1344,450,7.38,warehouse
R-1345,B-1345,290,4.39,direct
R-1346,B-1346,453,5.88,direct
R-1347,B-1347,500,6.41,warehouse
R-1348,B-1348,167,3.34,direct
R-1349,B-1349,83,1.63,direct
R-1350,B-1350,246,5.12,direct
R-1351,B-1351,14,0.2,warehouse
R-1352,B-1352,459,6.04,warehouse
R-1353,B-1353,315,7.5,direct
R-1354,B-1354,292,4.56,warehouse
R-1355,B-1355,148,2.43,direct
R-1356,B-1356,332,5.44,warehouse
R-1357,B-1357,476,8.07,warehouse
R-1358,B-1358,226,3.14,direct
R-1359,B-1359,304,6.76,warehouse
R-1360,B-1360,339,6.78,warehouse
R-1361,B-1361,343,5.04,warehouse
R-1362,B-1362,230,3.43,warehouse
R-1363,B-1363,237,5.15,direct
R-1364,B-1364,493,11.2,direct
R-1365,B-1365,440,5.64,warehouse
R-1366,B-1366,136,2.83,direct
R-1367,B-1367,150,1.95,direct
R-1368,B-1368,289,4.13,direct
R-1369,B-1369,460,8.07,warehouse
R-1370,B-1370,54,1.1,warehouse
R-1371,B-1371,167,3.15,direct
R-1372,B-1372,168,2.13,warehouse
R-1373,B-1373,191,4.06,warehouse
R-1374,B-1374,172,2.23,direct
R-1375,B-1375,167,2.14,warehouse
R-1376,B-1376,475,5.94,warehouse
R-1377,B-1377,207,2.88,direct
R-1378,B-1378,482,8.61,warehouse
R-1379,B-1379,315,4.04,direct
R-1380,B-1380,353,5.79,warehouse
R-1381,B-1381,396,6.49,warehouse
R-1382,B-1382,372,5.03,warehouse
R-1383,B-1383,321,4.79,direct
R-1384,B-1384,261,4.28,warehouse
R-1385,B-1385,22,0.42,warehouse
R-1386,B-1386,161,3.35,direct
R-1387,B-1387,141,3.36,direct
R-1388,B-1388,406,5.64,direct
R-1389,B-1389,444,8.71,warehouse
R-1390,B-1390,240,3.12,warehouse
R-1391,B-1391,403,5.04,warehouse
R-1392,B-1392,292,5.31,warehouse
R-1393,B-1393,272,3.94,warehouse
R-1394,B-1394,72,1.6,direct
R-1395,B-1395,286,6.09,warehouse
R-1396,B-1396,367,7.2,direct
R-1397,B-1397,197,2.46,direct
R-1398,B-1398,438,6.08,warehouse
R-1399,B-1399,396,6.6,direct
R-1400,B-1400,10,0.24,direct
R-1401,B-1401,61,0.85,direct
R-1402,B-1402,359,7.98,direct
R-1403,B-1403,300,6.67,warehouse
R-1404,B-1404,289,3.85,direct
R-1405,B-1405,162,2.19,warehouse
R-1406,B-1406,95,2.02,direct
R-1407,B-1407,440,7.33,warehouse
R-1408,B-1408,241,4.16,warehouse
R-1409,B-1409,467,8.34,direct
R-1410,B-1410,229,3.63,warehouse
R-1411,B-1411,253,3.33,direct
R-1412,B-1412,488,7.62,warehouse
R-1413,B-1413,104,1.93,warehouse
R-1414,B-1414,140,1.77,direct
R-1415,B-1415,364,4.92,direct
R-1416,B-1416,417,8.34,direct
R-1417,B-1417,118,1.84,direct
R-1418,B-1418,19,0.35,direct
R-1419,B-1419,328,5.12,warehouse
R-1420,B-1420,443,7.26,warehouse
R-1421,B-1421,407,6.07,warehouse
R-1422,B-1422,440,8.0,direct
R-1423,B-1423,346,5.01,warehouse
R-1424,B-1424,481,6.77,direct
R-1425,B-1425,64,0.84,warehouse
R-1426,B-1426,242,4.75,direct
R-1427,B-1427,343,5.36,warehouse
R-1428,B-1428,97,1.73,direct
R-1429,B-1429,349,8.12,warehouse
R-1430,B-1430,200,3.17,direct
R-1431,B-1431,29,0.4,direct
R-1432,B-1432,191,3.54,direct
R-1433,B-1433,474,6.16,warehouse
R-1434,B-1434,70,1.21,warehouse
R-1435,B-1435,79,1.46,direct
R-1436,B-1436,97,1.41,direct
R-1437,B-1437,420,8.4,warehouse
R-1438,B-1438,347,4.45,direct
R-1439,B-1439,473,6.14,warehouse
R-1440,B-1440,188,3.42,warehouse
R-1441,B-1441,476,6.9,direct
R-1442,B-1442,103,1.69,direct
R-1443,B-1443,76,0.97,direct
R-1444,B-1444,88,1.31,warehouse
R-1445,B-1445,313,6.52,warehouse
R-1446,B-1446,300,4.11,direct
R-1447,B-1447,478,9.96,warehouse
R-1448,B-1448,98,2.33,warehouse
R-1449,B-1449,238,3.4,warehouse
R-1450,B-1450,431,5.75,warehouse
R-1451,B-1451,259,4.18,warehouse
R-1452,B-1452,155,2.35,direct
R-1453,B-1453,201,4.1,direct
R-1454,B-1454,401,5.42,warehouse
R-1455,B-1455,282,3.71,direct
R-1456,B-1456,231,3.67,warehouse
R-1457,B-1457,218,3.25,direct
R-1458,B-1458,70,1.59,direct
R-1459,B-1459,380,7.76,warehouse
R-1460,B-1460,218,5.32,direct
R-1461,B-1461,51,1.16,warehouse
R-1462,B-1462,59,0.81,direct
R-1463,B-1463,320,8.0,direct
R-1464,B-1464,462,9.24,direct
R-1465,B-1465,183,3.0,warehouse
R-1466,B-1466,399,4.99,warehouse
R-1467,B-1467,447,9.31,warehouse
R-1468,B-1468,315,4.7,direct
R-1469,B-1469,31,0.56,warehouse
R-1470,B-1470,398,5.53,warehouse
R-1471,B-1471,192,3.69,direct
R-1472,B-1472,201,3.65,direct
R-1473,B-1473,28,0.37,direct
R-1474,B-1474,84,1.35,direct
R-1475,B-1475,342,4.89,warehouse
R-1476,B-1476,303,7.39,direct
R-1477,B-1477,55,1.06,warehouse
R-1478,B-1478,147,2.07,direct
R-1479,B-1479,181,2.78,warehouse
R-1480,B-1480,160,2.13,direct
R-1481,B-1481,235,5.11,warehouse
R-1482,B-1482,309,4.61,direct
R-1483,B-1483,297,4.64,direct
R-1484,B-1484,497,8.57,direct
R-1485,B-1485,435,8.7,warehouse
R-1486,B-1486,110,1.69,warehouse
R-1487,B-1487,80,1.36,direct
R-1488,B-1488,408,5.75,warehouse
R-1489,B-1489,93,2.21,direct
R-1490,B-1490,379,5.19,warehouse
R-1491,B-1491,453,7.43,direct
R-1492,B-1492,184,3.07,direct
R-1493,B-1493,19,0.32,warehouse
R-1494,B-1494,72,1.22,warehouse
R-1495,B-1495,218,4.45,direct
R-1496,B-1496,445,9.08,warehouse
R-1497,B-1497,387,6.05,warehouse
R-1498,B-1498,397,6.3,warehouse
R-1499,B-1499,48,0.69,direct
R-1500,B-1500,299,3.78,direct
R-1501,B-1501,82,1.52,warehouse
R-1502,B-1502,55,1.22,warehouse
R-1503,B-1503,174,3.41,warehouse
R-1504,B-1504,377,6.28,direct
R-1505,B-1505,466,7.52,warehouse
R-1506,B-1506,416,5.86,direct
R-1507,B-1507,77,1.64,warehouse
R-1508,B-1508,436,5.52,warehouse
R-1509,B-1509,335,5.08,warehouse
R-1510,B-1510,499,6.93,warehouse
R-1511,B-1511,456,6.71,direct
R-1512,B-1512,266,3.33,direct
R-1513,B-1513,480,6.96,direct
R-1514,B-1514,298,4.52,direct
R-1515,B-1515,224,3.03,warehouse
R-1516,B-1516,55,1.38,warehouse
R-1517,B-1517,35,0.85,warehouse
R-1518,B-1518,475,11.88,direct
R-1519,B-1519,499,7.13,warehouse
R-1520,B-1520,462,7.7,warehouse
R-1521,B-1521,71,1.13,warehouse
R-1522,B-1522,44,0.62,direct
R-1523,B-1523,247,5.37,warehouse
R-1524,B-1524,464,10.09,direct
R-1525,B-1525,407,7.68,warehouse
R-1526,B-1526,332,4.43,warehouse
R-1527,B-1527,18,0.32,warehouse
R-1528,B-1528,463,9.85,warehouse
R-1529,B-1529,103,1.3,direct
R-1530,B-1530,67,0.96,direct
R-1531,B-1531,264,5.62,direct
R-1532,B-1532,355,4.67,warehouse
R-1533,B-1533,442,6.23,warehouse
R-1534,B-1534,494,7.06,warehouse
R-1535,B-1535,373,5.04,warehouse
R-1536,B-1536,331,7.04,warehouse
R-1537,B-1537,413,5.9,warehouse
R-1538,B-1538,377,7.54,direct
R-1539,B-1539,79,1.65,direct
R-1540,B-1540,26,0.5,warehouse
R-1541,B-1541,63,1.11,warehouse
R-1542,B-1542,91,1.17,warehouse
R-1543,B-1543,24,0.33,direct
R-1544,B-1544,415,5.68,direct
R-1545,B-1545,134,2.2,warehouse
R-1546,B-1546,308,6.84,direct
R-1547,B-1547,196,3.56,warehouse
R-1548,B-1548,231,3.61,warehouse
R-1549,B-1549,11,0.18,warehouse
R-1550,B-1550,85,1.6,direct
R-1551,B-1551,416,6.82,direct
R-1552,B-1552,354,7.22,direct
R-1553,B-1553,250,3.62,direct
R-1554,B-1554,494,11.23,direct
R-1555,B-1555,465,5.89,direct
R-1556,B-1556,367,5.65,direct
R-1557,B-1557,327,6.67,direct
R-1558,B-1558,187,2.92,direct
R-1559,B-1559,205,3.6,warehouse
R-1560,B-1560,371,4.64,warehouse
R-1561,B-1561,301,4.49,warehouse
R-1562,B-1562,402,5.43,direct
R-1563,B-1563,85,1.6,direct
R-1564,B-1564,258,4.45,direct
R-1565,B-1565,238,4.76,direct
R-1566,B-1566,272,4.18,warehouse
R-1567,B-1567,155,2.18,warehouse
R-1568,B-1568,204,2.96,warehouse
R-1569,B-1569,476,7.93,direct
R-1570,B-1570,101,1.84,direct
R-1571,B-1571,213,4.84,direct
R-1572,B-1572,64,0.82,direct
R-1573,B-1573,12,0.21,direct
R-1574,B-1574,106,1.39,warehouse
R-1575,B-1575,258,6.0,warehouse
R-1576,B-1576,147,3.06,direct
R-1577,B-1577,163,2.96,direct
R-1578,B-1578,145,1.93,warehouse
R-1579,B-1579,300,3.8,direct
R-1580,B-1580,430,6.52,direct
R-1581,B-1581,384,5.65,warehouse
R-1582,B-1582,314,5.71,direct
R-1583,B-1583,323,4.25,direct
R-1584,B-1584,65,1.2,warehouse
R-1585,B-1585,354,4.92,direct
R-1586,B-1586,343,4.9,direct
R-1587,B-1587,208,2.67,warehouse
R-1588,B-1588,173,3.15,warehouse
R-1589,B-1589,205,3.94,warehouse
R-1590,B-1590,132,1.74,direct
R-1591,B-1591,360,7.06,warehouse
R-1592,B-1592,236,3.52,direct
R-1593,B-1593,448,6.4,warehouse
R-1594,B-1594,406,6.66,direct
R-1595,B-1595,120,1.5,warehouse
R-1596,B-1596,500,6.67,warehouse
R-1597,B-1597,369,7.38,warehouse
R-1598,B-1598,30,0.47,warehouse
R-1599,B-1599,64,0.91,warehouse
R-1600,B-1600,172,4.0,direct
R-1601,B-1601,269,5.49,warehouse
R-1602,B-1602,356,7.74,warehouse
R-1603,B-1603,446,5.87,direct
R-1604,B-1604,268,4.87,direct
R-1605,B-1605,344,5.93,warehouse
R-1606,B-1606,322,4.54,warehouse
R-1607,B-1607,449,6.91,warehouse
R-1608,B-1608,326,5.53,warehouse
R-1609,B-1609,451,10.25,warehouse
R-1610,B-1610,348,5.04,direct
R-1611,B-1611,422,8.98,direct
R-1612,B-1612,53,0.7,direct
R-1613,B-1613,492,6.39,direct
R-1614,B-1614,439,6.18,direct
R-1615,B-1615,314,4.98,warehouse
R-1616,B-1616,313,4.23,warehouse
R-1617,B-1617,441,5.51,direct
R-1618,B-1618,260,3.82,direct
R-1619,B-1619,316,5.18,direct
R-1620,B-1620,111,1.82,direct
R-1621,B-1621,67,1.49,direct
R-1622,B-1622,245,3.95,direct
R-1623,B-1623,74,1.1,direct
R-1624,B-1624,441,8.02,direct
R-1625,B-1625,210,5.12,warehouse
R-1626,B-1626,356,7.91,direct
R-1627,B-1627,407,6.78,direct
R-1628,B-1628,448,9.14,direct
R-1629,B-1629,460,6.97,direct
R-1630,B-1630,105,2.56,direct
R-1631,B-1631,167,3.34,direct
R-1632,B-1632,318,7.76,warehouse
R-1633,B-1633,360,5.9,direct
R-1634,B-1634,446,7.31,direct
R-1635,B-1635,102,1.82,warehouse
R-1636,B-1636,436,6.61,warehouse
R-1637,B-1637,220,3.38,warehouse
R-1638,B-1638,330,7.5,warehouse
R-1639,B-1639,244,4.78,direct
R-1640,B-1640,185,3.56,warehouse
R-1641,B-1641,323,5.05,warehouse
R-1642,B-1642,107,2.02,direct
R-1643,B-1643,107,1.34,warehouse
R-1644,B-1644,52,1.04,warehouse
R-1645,B-1645,85,1.55,warehouse
R-1646,B-1646,258,6.14,warehouse
R-1647,B-1647,63,1.02,warehouse
R-1648,B-1648,457,7.37,warehouse
R-1649,B-1649,97,1.56,direct
R-1650,B-1650,110,1.8,warehouse
R-1651,B-1651,84,1.05,direct
R-1652,B-1652,251,4.74,warehouse
R-1653,B-1653,201,3.35,direct
R-1654,B-1654,25,0.57,warehouse
R-1655,B-1655,85,1.18,warehouse
R-1656,B-1656,194,3.03,warehouse
R-1657,B-1657,322,6.31,warehouse
R-1658,B-1658,362,8.83,warehouse
R-1659,B-1659,281,5.2,warehouse
R-1660,B-1660,368,5.49,direct
R-1661,B-1661,106,2.16,direct
R-1662,B-1662,120,1.88,warehouse
R-1663,B-1663,263,3.93,warehouse
R-1664,B-1664,159,2.34,direct
R-1665,B-1665,162,2.13,warehouse
R-1666,B-1666,146,2.28,direct
R-1667,B-1667,157,3.41,direct
R-1668,B-1668,369,7.85,warehouse
R-1669,B-1669,413,8.98,direct
R-1670,B-1670,154,2.61,warehouse
R-1671,B-1671,131,1.68,direct
R-1672,B-1672,171,3.89,direct
R-1673,B-1673,144,3.51,direct
R-1674,B-1674,68,0.92,direct
R-1675,B-1675,104,1.46,warehouse
R-1676,B-1676,385,6.64,warehouse
R-1677,B-1677,111,2.41,direct
R-1678,B-1678,488,10.84,direct
R-1679,B-1679,97,1.87,warehouse
R-1680,B-1680,397,7.35,direct
R-1681,B-1681,179,4.47,warehouse
R-1682,B-1682,461,8.54,warehouse
R-1683,B-1683,401,5.21,direct
R-1684,B-1684,132,2.13,direct
R-1685,B-1685,215,4.06,warehouse
R-1686,B-1686,128,3.12,warehouse
R-1687,B-1687,416,6.6,warehouse
R-1688,B-1688,328,4.62,warehouse
R-1689,B-1689,371,6.87,warehouse
R-1690,B-1690,77,1.2,warehouse
R-1691,B-1691,398,7.8,direct
R-1692,B-1692,395,7.9,warehouse
R-1693,B-1693,246,4.39,direct
R-1694,B-1694,420,10.0,direct
R-1695,B-1695,442,6.8,warehouse
R-1696,B-1696,255,5.67,warehouse
