batch_id,current_freshness,days_in_storage,temperature,humidity
B-1072,61.3,9,17.9,50.4
B-1073,94.2,1,14.5,86.9
B-1074,64.4,4,15.2,80.6
B-1075,81.5,7,15.7,35.1
B-1076,100.0,0,19.2,45.8
B-1077,30.5,8,2.4,54.6
B-1078,100.0,0,22.6,79.0
B-1079,89.9,2,16.9,82.2
B-1080,75.9,9,15.0,76.5
B-1081,52.9,8,22.9,54.0
B-1082,51.6,7,19.0,48.1
B-1083,100.0,0,14.4,61.9
B-1084,84.0,2,21.6,63.3
B-1085,75.8,4,22.3,37.2
B-1086,65.8,5,7.8,40.2
B-1087,0.1,10,18.7,42.3
B-1088,93.5,2,20.6,53.9
B-1089,73.0,4,8.3,69.4
B-1090,81.9,3,13.4,39.2
B-1091,54.9,6,15.1,62.0
B-1092,72.8,7,14.9,83.3
B-1093,67.7,4,6.9,50.0
B-1094,89.7,5,16.7,81.7
B-1095,75.2,8,15.2,86.4
B-1096,89.8,2,19.7,45.5
B-1097,94.9,1,17.2,68.7
B-1098,93.6,1,6.2,68.0
B-1099,94.6,1,15.6,72.3
B-1100,67.9,6,16.1,37.5
B-1101,58.2,9,24.7,32.7
B-1102,45.0,7,21.1,89.8
B-1103,11.8,9,12.9,53.5
B-1104,56.8,8,15.0,64.6
B-1105,100.0,0,24.6,56.7
B-1106,100.0,0,19.8,81.0
B-1107,4.6,10,22.0,84.7
B-1108,84.8,2,20.9,32.8
B-1109,96.2,1,2.2,82.8
B-1110,100.0,0,10.0,51.4
B-1111,100.0,0,15.5,41.4
B-1112,94.4,2,5.6,66.2
B-1113,60.0,5,8.0,46.8
B-1114,43.6,10,23.2,57.7
B-1115,97.8,1,24.7,87.8
B-1116,90.0,4,24.6,82.9
B-1117,100.0,0,13.2,48.9
B-1118,62.1,9,24.7,89.1
B-1119,87.0,3,18.7,86.6
B-1120,95.2,1,6.2,37.3
B-1121,50.5,7,7.4,49.0
B-1122,74.2,8,7.8,39.8
B-1123,55.1,6,3.0,32.6
B-1124,49.4,7,13.6,79.4
B-1125,85.0,4,15.7,40.2
B-1126,81.6,7,21.8,35.7
B-1127,62.2,7,15.1,48.6
B-1128,62.9,8,10.3,31.6
B-1129,77.7,10,14.3,84.3
B-1130,73.8,5,3.9,65.9
B-1131,86.6,2,4.6,30.3
B-1132,100.0,0,19.8,49.3
B-1133,74.1,9,14.1,64.5
B-1134,90.7,2,23.9,32.0
B-1135,41.5,7,14.2,67.1
B-1136,77.9,8,11.4,84.5
B-1137,91.2,4,11.2,84.0
B-1138,40.7,6,22.7,80.1
B-1139,100.0,0,19.3,61.1
B-1140,69.6,9,14.1,74.6
B-1141,82.4,2,19.9,32.2
B-1142,69.1,6,21.8,76.0
B-1143,100.0,0,4.9,63.2
B-1144,100.0,0,12.4,42.9
B-1145,15.5,9,5.1,38.8
B-1146,100.0,0,14.6,54.4
B-1147,26.1,8,15.7,65.7
B-1148,81.8,4,18.4,55.4
B-1149,79.8,4,13.0,54.2
B-1150,54.4,6,13.8,39.7
B-1151,67.0,5,20.2,52.1
B-1152,78.3,7,17.9,47.7
B-1153,72.3,7,18.7,77.7
B-1154,60.9,6,21.3,63.4
B-1155,69.6,7,23.6,68.4
B-1156,45.5,10,21.7,53.8
B-1157,14.4,10,14.6,31.0
B-1158,84.8,2,20.4,57.0
B-1159,90.4,2,21.3,88.2
B-1160,33.7,9,21.1,34.0
B-1161,86.7,5,24.8,72.8
B-1162,76.9,10,12.7,39.0
B-1163,85.7,2,24.2,62.3
B-1164,19.2,10,11.7,88.4
B-1165,53.3,10,23.3,77.5
B-1166,71.0,5,7.2,42.1
B-1167,39.0,10,15.8,40.5
B-1168,38.8,9,6.8,56.7
B-1169,70.0,8,11.6,59.8
B-1170,76.7,6,6.5,77.1
B-1171,54.8,6,18.2,67.0
B-1172,69.8,6,17.9,50.0
B-1173,87.3,2,2.3,57.0
B-1174,44.6,10,11.9,80.5
B-1175,33.5,9,21.7,69.9
B-1176,74.3,7,17.6,82.5
B-1177,24.7,9,20.2,44.4
B-1178,93.4,2,4.7,39.5
B-1179,50.7,10,24.8,77.1
B-1180,57.5,7,12.0,79.9
B-1181,92.7,1,4.9,81.6
B-1182,50.3,5,6.5,57.1
B-1183,100.0,0,13.6,62.6
B-1184,100.0,0,13.5,87.0
B-1185,64.7,5,9.1,89.5
B-1186,60.4,4,8.8,55.9
B-1187,70.3,3,2.9,37.8
B-1188,72.9,9,13.2,65.9
B-1189,82.8,2,17.6,82.9
B-1190,90.7,1,9.2,78.2
B-1191,91.6,2,23.0,44.3
B-1192,84.8,4,15.0,66.1
B-1193,86.3,2,18.2,80.9
B-1194,70.1,9,18.4,51.3
B-1195,28.4,8,15.6,87.6
B-1196,1.3,10,18.5,36.2
B-1197,90.5,2,17.4,77.2
B-1198,95.6,2,3.3,84.8
B-1199,47.9,7,5.3,83.0
B-1200,77.0,5,4.9,34.5
B-1201,100.0,0,21.6,46.1
B-1202,66.3,7,10.4,78.5
B-1203,97.4,1,9.0,79.7
B-1204,59.7,5,22.0,32.9
B-1205,100.0,0,12.4,37.3
B-1206,58.7,7,11.3,54.2
B-1207,79.7,4,8.0,35.0
B-1208,88.2,2,14.8,32.9
B-1209,100.0,0,13.8,42.1
B-1210,30.6,7,13.4,67.8
B-1211,65.0,8,13.1,58.3
B-1212,100.0,0,15.4,30.3
B-1213,79.2,4,14.3,36.7
B-1214,87.1,6,10.9,68.6
B-1215,64.4,6,22.5,39.0
B-1216,100.0,0,3.9,83.3
B-1217,89.8,5,3.7,65.2
B-1218,86.2,5,4.1,87.7
B-1219,94.0,1,24.6,85.4
B-1220,33.2,8,6.6,45.7
B-1221,87.2,5,13.5,48.6
B-1222,80.9,2,12.9,71.4
B-1223,100.0,0,20.6,51.9
B-1224,44.3,6,17.9,43.5
B-1225,100.0,0,15.3,42.2
B-1226,90.9,2,4.0,71.7
B-1227,95.3,1,13.7,56.7
B-1228,1.1,10,3.8,65.8
B-1229,33.8,10,15.6,63.3
B-1230,75.8,6,11.0,40.0
B-1231,100.0,0,17.1,45.0
B-1232,85.9,2,2.5,88.1
B-1233,89.8,3,9.8,72.8
B-1234,92.9,1,3.8,86.7
B-1235,49.8,9,12.3,41.8
B-1236,52.0,10,7.8,77.2
B-1237,100.0,0,13.7,77.3
B-1238,66.8,9,7.7,31.7
B-1239,45.5,9,13.0,45.5
B-1240,78.4,4,11.5,39.7
B-1241,92.3,1,15.8,74.8
B-1242,49.6,9,14.9,72.2
B-1243,15.9,10,8.2,38.1
B-1244,82.9,3,13.7,69.4
B-1245,70.2,4,7.2,76.2
B-1246,81.5,2,23.8,37.7
B-1247,72.9,8,4.8,51.3
B-1248,95.1,1,2.3,79.0
B-1249,100.0,0,11.6,69.2
B-1250,95.4,2,2.3,57.0
B-1251,67.2,6,8.3,55.9
B-1252,41.3,7,20.7,56.9
B-1253,91.5,1,22.5,36.5
B-1254,93.8,3,22.3,48.5
B-1255,68.5,4,6.3,73.3
B-1256,33.6,8,3.6,48.0
B-1257,74.7,3,10.9,43.1
B-1258,94.1,1,2.7,36.8
B-1259,64.5,5,11.5,49.4
B-1260,100.0,0,21.3,82.2
B-1261,53.9,7,2.7,72.4
B-1262,90.1,1,2.2,72.8
B-1263,85.4,6,4.7,61.1
B-1264,72.1,8,6.4,34.5
B-1265,78.8,5,20.8,59.9
B-1266,68.0,5,24.0,88.9
B-1267,81.8,4,20.2,58.6
B-1268,59.0,5,11.7,85.7
B-1269,92.2,1,13.8,33.8
B-1270,60.2,9,10.0,51.4
B-1271,74.7,4,22.4,89.0
B-1272,69.1,9,19.5,59.2
B-1273,90.6,4,16.4,66.9
B-1274,54.3,5,21.1,82.8
B-1275,93.6,1,4.7,71.8
B-1276,58.9,7,23.6,86.0
B-1277,45.5,6,7.1,48.5
B-1278,43.8,6,9.4,42.1
B-1279,73.8,6,13.3,34.8
B-1280,70.6,3,18.7,78.0
B-1281,67.5,5,24.0,88.7
B-1282,37.4,9,7.7,88.9
B-1283,89.4,3,10.8,39.3
B-1284,41.5,6,18.0,41.2
B-1285,81.1,5,22.2,82.7
B-1286,74.8,4,16.2,37.7
B-1287,8.4,10,17.1,40.2
B-1288,95.6,1,16.8,36.3
B-1289,100.0,0,21.3,85.7
B-1290,45.0,10,20.4,47.5
B-1291,51.7,9,3.6,42.7
B-1292,91.6,1,13.3,35.9
B-1293,100.0,0,6.2,81.5
B-1294,90.8,4,22.1,35.5
B-1295,100.0,0,13.9,68.4
B-1296,81.7,4,16.1,38.6
B-1297,100.0,0,13.2,54.7
B-1298,83.4,2,16.7,88.7
B-1299,91.9,1,11.1,69.3
B-1300,64.2,6,19.7,71.8
B-1301,92.7,1,22.9,32.1
B-1302,75.8,7,10.9,84.2
B-1303,53.6,9,6.4,54.3
B-1304,34.6,10,14.7,62.7
B-1305,52.2,9,10.9,44.4
B-1306,53.0,6,14.1,47.7
B-1307,64.0,7,8.4,41.6
B-1308,78.0,3,9.8,59.0
B-1309,25.8,8,22.8,63.9
B-1310,79.3,4,16.1,73.9
B-1311,93.3,1,11.0,86.5
B-1312,33.1,10,24.2,46.2
B-1313,100.0,0,15.9,75.1
B-1314,63.1,4,9.1,81.5
B-1315,100.0,0,5.8,80.4
B-1316,33.1,10,21.5,54.8
B-1317,66.3,9,22.8,88.6
B-1318,77.7,3,12.2,70.9
B-1319,76.7,3,8.1,36.2
B-1320,93.0,3,3.4,35.6
B-1321,72.2,5,2.9,75.0
B-1322,97.4,1,16.0,58.1
B-1323,59.6,6,17.0,38.0
B-1324,24.7,9,7.6,77.0
B-1325,70.1,3,21.6,71.6
B-1326,87.2,5,9.9,45.8
B-1327,11.0,9,7.0,52.9
B-1328,64.8,8,19.5,34.0
B-1329,100.0,0,16.8,56.6
B-1330,90.7,1,21.3,60.4
B-1331,92.3,1,7.6,50.3
B-1332,85.3,6,3.2,83.5
B-1333,57.1,5,2.9,43.7
B-1334,31.1,7,23.8,61.0
B-1335,93.4,2,14.3,85.1
B-1336,92.8,2,5.0,32.4
B-1337,66.4,4,18.7,53.9
B-1338,26.8,9,20.5,65.3
B-1339,59.0,5,12.6,52.5
B-1340,94.8,1,18.8,75.5
B-1341,68.1,9,18.6,49.9
B-1342,72.3,6,17.6,61.2
B-1343,85.3,5,17.2,87.0
B-1344,1.4,10,13.3,59.9
B-1345,83.1,5,14.9,38.5
B-1346,36.8,8,12.8,53.1
B-1347,60.6,10,7.4,66.4
B-1348,12.0,9,19.4,76.6
B-1349,68.2,6,6.6,37.0
B-1350,54.9,6,5.9,82.4
B-1351,28.0,9,19.4,76.7
B-1352,76.3,3,17.5,62.1
B-1353,58.1,6,9.4,74.1
B-1354,81.8,7,21.5,70.3
B-1355,75.9,6,9.1,82.0
B-1356,66.2,7,14.3,88.4
B-1357,57.4,5,3.0,88.2
B-1358,52.2,9,7.1,56.2
B-1359,92.4,2,19.3,37.9
B-1360,87.3,5,10.9,72.3
B-1361,81.4,2,20.2,34.6
B-1362,81.3,4,12.1,75.3
B-1363,32.2,10,14.1,78.2
B-1364,100.0,0,19.8,79.3
B-1365,64.7,8,16.2,49.1
B-1366,55.4,8,4.6,52.0
B-1367,60.9,6,14.7,35.2
B-1368,30.0,10,19.7,85.1
B-1369,83.2,2,21.8,78.2
B-1370,52.0,10,22.9,64.3
B-1371,83.1,5,21.9,72.1
B-1372,74.6,7,16.2,81.3
B-1373,43.1,8,24.6,31.3
B-1374,33.2,7,20.1,80.4
B-1375,73.6,6,17.4,88.4
B-1376,100.0,0,19.7,83.5
B-1377,91.6,1,21.4,51.1
B-1378,73.9,3,3.0,36.3
B-1379,40.6,10,5.9,47.3
B-1380,86.0,3,16.0,61.8
B-1381,69.8,5,17.1,55.2
B-1382,54.2,10,8.5,40.1
B-1383,83.5,2,11.3,73.9
B-1384,40.0,10,4.4,37.0
B-1385,66.5,8,16.5,64.2
B-1386,13.2,9,19.1,64.7
B-1387,65.5,10,24.4,79.3
B-1388,42.6,7,15.6,35.1
B-1389,32.5,7,4.9,56.8
B-1390,78.9,3,15.0,73.1
B-1391,71.4,3,13.4,49.0
B-1392,100.0,0,18.0,87.3
B-1393,58.4,10,15.4,54.4
B-1394,77.2,4,21.2,62.3
B-1395,93.3,2,9.3,72.7
B-1396,27.7,9,3.1,79.9
B-1397,93.9,1,12.9,77.1
B-1398,80.2,2,8.0,45.0
B-1399,42.1,6,13.7,73.8
B-1400,20.3,10,15.0,60.1
B-1401,74.8,5,17.7,74.8
B-1402,13.8,9,20.2,54.4
B-1403,87.8,5,13.2,83.1
B-1404,84.4,3,16.9,72.5
B-1405,19.0,10,23.5,83.4
B-1406,100.0,0,14.0,66.0
B-1407,72.7,10,10.1,54.1
B-1408,100.0,0,7.4,71.6
B-1409,30.4,10,11.8,67.0
B-1410,88.8,5,22.3,56.3
B-1411,94.9,2,4.8,32.8
B-1412,94.3,1,13.6,44.3
B-1413,100.0,0,22.2,62.6
B-1414,52.7,7,20.6,44.0
B-1415,75.3,6,5.1,88.9
B-1416,81.8,2,10.1,70.6
B-1417,79.6,4,9.8,56.9
B-1418,92.3,1,16.0,49.1
B-1419,80.7,4,5.3,67.4
B-1420,76.7,5,4.3,37.7
B-1421,100.0,0,5.5,53.9
B-1422,71.2,4,9.7,50.2
B-1423,55.7,7,12.9,64.9
B-1424,49.1,6,20.0,77.7
B-1425,39.0,9,12.5,61.4
B-1426,92.1,1,16.9,52.5
B-1427,87.1,2,8.0,46.5
B-1428,82.0,2,11.3,31.6
B-1429,32.2,10,20.5,74.0
B-1430,88.4,5,18.3,83.1
B-1431,77.9,3,22.4,69.4
B-1432,76.2,3,17.7,72.0
B-1433,91.1,3,22.8,61.0
B-1434,11.3,10,15.4,56.8
B-1435,56.5,10,5.9,65.3
B-1436,91.4,1,11.2,61.8
B-1437,74.9,5,8.2,52.9
B-1438,71.4,6,7.4,83.3
B-1439,100.0,0,12.5,87.3
B-1440,72.7,8,14.4,85.5
B-1441,20.2,10,4.9,33.8
B-1442,100.0,0,22.1,74.1
B-1443,71.9,6,6.2,52.9
B-1444,75.4,7,10.4,55.3
B-1445,8.4,10,2.1,45.1
B-1446,51.6,7,14.2,85.2
B-1447,55.0,9,3.6,30.5
B-1448,100.0,0,12.2,55.4
B-1449,49.4,9,18.9,72.6
B-1450,58.6,8,3.1,72.7
B-1451,48.6,8,18.2,62.6
B-1452,79.6,5,17.9,32.0
B-1453,58.1,5,15.5,74.5
B-1454,77.3,10,18.2,72.7
B-1455,84.0,3,22.2,86.0
B-1456,100.0,0,23.7,85.0
B-1457,100.0,0,22.6,46.7
B-1458,97.9,1,14.1,31.7
B-1459,28.7,8,5.4,71.6
B-1460,47.7,9,4.1,60.6
B-1461,100.0,0,12.1,56.4
B-1462,58.6,9,17.0,78.6
B-1463,87.7,3,13.8,65.1
B-1464,90.6,1,7.2,54.8
B-1465,83.3,2,18.8,62.0
B-1466,93.8,1,7.0,57.7
B-1467,79.3,9,17.0,59.2
B-1468,100.0,0,21.8,40.1
B-1469,60.7,4,17.8,78.8
B-1470,100.0,0,4.2,41.8
B-1471,96.2,1,13.9,42.7
B-1472,51.0,8,18.3,80.4
B-1473,75.7,10,21.6,69.3
B-1474,84.8,2,17.8,70.6
B-1475,79.9,4,11.5,33.5
B-1476,82.4,6,23.2,52.7
B-1477,92.5,2,17.5,72.3
B-1478,58.9,9,19.6,41.0
B-1479,63.1,6,23.6,54.4
B-1480,64.5,5,24.5,87.3
B-1481,100.0,0,24.8,45.0
B-1482,68.6,6,18.3,40.8
B-1483,100.0,0,8.2,79.0
B-1484,85.1,5,17.1,72.3
B-1485,100.0,0,22.2,43.9
B-1486,34.7,7,23.1,69.3
B-1487,0.5,10,22.5,79.1
B-1488,83.1,3,9.5,55.5
B-1489,66.3,8,11.3,77.7
B-1490,95.1,1,19.0,76.8
B-1491,100.0,0,19.3,89.8
B-1492,26.2,8,18.2,50.3
B-1493,68.6,9,9.4,82.7
B-1494,87.3,2,22.4,32.6
B-1495,61.7,10,8.9,49.8
B-1496,82.3,3,8.1,56.8
B-1497,100.0,0,11.0,75.5
B-1498,81.2,3,16.7,33.7
B-1499,80.5,3,23.5,58.0
B-1500,61.5,5,15.5,43.3
B-1501,57.4,5,19.1,53.9
B-1502,41.2,7,11.1,57.9
B-1503,89.3,3,10.0,60.1
B-1504,81.0,7,11.0,51.4
B-1505,47.2,6,15.8,34.4
B-1506,83.0,4,3.2,68.6
B-1507,95.6,1,6.7,74.2
B-1508,80.0,6,22.4,59.1
B-1509,24.4,10,11.7,35.5
B-1510,26.0,8,3.6,65.3
B-1511,46.9,7,20.4,34.9
B-1512,82.4,3,5.8,32.7
B-1513,89.9,3,10.9,85.4
B-1514,78.7,4,5.8,46.4
B-1515,59.9,5,23.5,79.3
B-1516,97.3,1,15.8,89.8
B-1517,100.0,0,3.5,82.2
B-1518,31.7,10,7.6,39.3
B-1519,81.2,4,21.8,65.2
B-1520,83.2,3,9.5,57.3
B-1521,94.9,2,24.3,78.1
B-1522,71.9,5,7.6,87.0
B-1523,100.0,0,7.5,83.7
B-1524,86.5,3,16.4,83.9
B-1525,90.3,2,16.6,65.2
B-1526,80.5,6,17.9,87.2
B-1527,54.3,5,3.2,78.0
B-1528,80.0,5,11.5,82.3
B-1529,100.0,0,8.3,80.1
B-1530,82.6,8,22.0,35.7
B-1531,90.2,1,2.4,32.4
B-1532,39.6,8,13.7,47.2
B-1533,40.7,6,11.5,34.3
B-1534,100.0,0,17.3,69.9
B-1535,54.7,10,9.6,59.0
B-1536,57.0,7,12.9,83.6
B-1537,55.5,5,21.8,37.0
B-1538,65.2,7,13.3,73.9
B-1539,64.5,10,2.5,33.6
B-1540,97.3,1,3.0,69.5
B-1541,100.0,0,21.5,40.6
B-1542,43.1,6,10.3,72.6
B-1543,81.5,3,3.6,67.8
B-1544,59.8,5,7.6,84.3
B-1545,65.8,9,11.6,33.0
B-1546,73.4,8,19.0,89.6
B-1547,40.4,6,5.1,57.3
B-1548,100.0,0,12.1,80.6
B-1549,33.7,7,8.0,57.8
B-1550,94.0,1,23.0,61.4
B-1551,88.8,2,2.4,39.9
B-1552,32.9,9,22.7,65.6
B-1553,80.3,3,18.4,57.4
B-1554,78.7,6,19.9,32.9
B-1555,100.0,0,16.4,41.1
B-1556,70.2,8,21.1,89.0
B-1557,93.4,1,8.4,56.7
B-1558,78.7,3,17.6,39.6
B-1559,67.4,9,8.0,30.7
B-1560,43.1,6,22.9,53.8
B-1561,76.3,6,18.5,45.8
B-1562,90.0,3,2.0,76.8
B-1563,44.6,6,17.3,63.2
B-1564,36.1,10,2.2,46.7
B-1565,14.9,9,2.3,53.0
B-1566,38.4,9,7.4,43.6
B-1567,87.7,2,10.5,48.2
B-1568,84.2,5,13.1,35.0
B-1569,15.1,9,10.2,79.0
B-1570,77.6,3,10.7,63.0
B-1571,45.5,10,7.0,52.4
B-1572,55.2,9,14.5,84.8
B-1573,87.5,5,16.7,83.2
B-1574,30.2,9,4.8,44.2
B-1575,80.4,4,2.7,70.6
B-1576,80.9,3,23.4,83.3
B-1577,90.4,4,5.2,60.1
B-1578,90.8,3,15.0,61.1
B-1579,100.0,0,12.2,50.9
B-1580,88.9,2,14.2,67.4
B-1581,52.6,5,24.1,39.9
B-1582,87.5,3,17.5,78.3
B-1583,100.0,0,15.5,60.1
B-1584,93.7,2,23.7,48.0
B-1585,57.7,7,17.3,82.4
B-1586,84.7,3,23.9,78.6
B-1587,49.5,8,19.8,35.5
B-1588,94.4,2,11.3,72.5
B-1589,83.3,5,19.1,72.8
B-1590,84.2,2,18.2,32.7
B-1591,92.4,1,8.6,49.4
B-1592,93.0,1,14.4,35.3
B-1593,73.2,7,17.1,76.5
B-1594,84.4,3,15.7,89.4
B-1595,56.4,10,18.3,59.1
B-1596,86.7,2,20.2,51.7
B-1597,93.1,3,19.7,73.6
B-1598,90.9,1,24.2,72.6
B-1599,72.8,4,4.6,31.8
B-1600,65.7,4,8.2,69.9
B-1601,21.8,10,18.9,81.3
B-1602,38.4,7,9.8,63.5
B-1603,58.5,9,21.3,67.1
B-1604,88.6,3,11.0,67.4
B-1605,100.0,0,9.2,31.0
B-1606,58.0,8,7.7,47.6
B-1607,48.9,7,14.4,70.1
B-1608,87.9,5,3.9,87.3
B-1609,53.1,8,7.1,32.5
B-1610,50.8,10,21.1,33.4
B-1611,42.5,9,17.2,54.7
B-1612,17.1,9,5.4,61.6
B-1613,73.1,5,2.6,61.8
B-1614,80.2,3,16.3,43.3
B-1615,87.9,3,18.1,64.3
B-1616,59.1,10,12.2,37.2
B-1617,34.8,7,12.2,86.5
B-1618,60.8,6,12.8,75.5
B-1619,95.4,2,6.5,38.3
B-1620,77.8,3,17.5,87.7
B-1621,81.0,4,5.7,49.9
B-1622,36.0,10,10.7,50.7
B-1623,15.9,9,16.7,45.4
B-1624,93.4,1,20.9,45.6
B-1625,88.6,2,6.4,73.0
B-1626,88.8,3,14.4,76.0
B-1627,44.6,9,4.3,64.0
B-1628,100.0,0,11.3,84.7
B-1629,97.9,1,6.4,51.3
B-1630,28.1,8,21.6,84.2
B-1631,66.6,8,14.2,49.4
B-1632,87.0,2,17.2,32.9
B-1633,23.2,8,18.6,54.0
B-1634,100.0,0,20.2,82.7
B-1635,82.4,2,10.9,64.6
B-1636,29.1,10,21.9,47.9
B-1637,86.1,5,15.4,55.5
B-1638,77.8,5,22.1,32.1
B-1639,76.4,5,22.8,73.8
B-1640,72.1,7,3.3,82.0
B-1641,81.7,2,12.5,44.9
B-1642,78.8,3,3.7,88.4
B-1643,44.9,7,21.6,89.2
B-1644,83.9,6,5.2,85.5
B-1645,100.0,0,24.0,72.7
B-1646,78.1,6,16.4,80.4
B-1647,78.6,5,21.7,76.0
B-1648,59.4,7,11.8,60.0
B-1649,65.1,4,14.3,81.4
B-1650,12.6,10,17.5,51.6
B-1651,12.1,9,16.3,82.4
B-1652,52.0,7,24.5,79.1
B-1653,65.1,5,17.4,63.3
B-1654,39.0,9,15.6,73.1
B-1655,32.0,7,25.0,65.2
B-1656,78.5,3,21.6,36.3
B-1657,66.6,10,2.9,70.4
B-1658,30.3,8,3.7,53.7
B-1659,64.1,4,12.3,34.0
B-1660,76.3,3,12.9,35.0
B-1661,100.0,0,6.7,62.9
B-1662,96.1,1,15.4,71.6
B-1663,64.8,6,23.6,35.0
B-1664,63.4,4,10.2,74.5
B-1665,70.1,3,8.9,64.3
B-1666,80.3,2,9.5,76.5
B-1667,93.0,1,24.1,71.7
B-1668,88.9,3,19.1,87.5
B-1669,54.7,7,11.4,48.1
B-1670,49.0,9,16.9,45.2
B-1671,58.7,6,5.5,70.3
B-1672,36.8,8,24.1,36.9
B-1673,90.9,1,7.2,56.8
B-1674,80.7,4,14.0,36.8
B-1675,83.3,2,24.6,42.5
B-1676,54.0,5,2.2,54.9
B-1677,27.5,9,3.4,42.3
B-1678,37.1,7,22.8,65.3
B-1679,93.3,2,16.3,30.6
B-1680,50.7,5,20.5,32.7
B-1681,83.9,2,5.2,61.3
B-1682,78.1,9,17.1,72.6
B-1683,84.5,4,23.8,37.6
B-1684,79.5,7,12.8,70.3
B-1685,40.1,9,11.6,45.7
B-1686,72.1,7,21.8,45.7
B-1687,73.5,3,23.6,51.1
B-1688,89.9,2,7.5,83.4
B-1689,31.3,9,24.0,43.8
B-1690,25.7,8,13.4,78.6
B-1691,100.0,0,14.8,81.7
B-1692,94.7,2,16.1,84.1
B-1693,62.4,5,24.0,51.3
B-1694,82.8,4,10.5,64.1
B-1695,100.0,0,10.1,80.3
B-1696,93.2,2,18.4,34.0
B-1697,72.7,8,13.9,34.3
B-1698,68.8,6,15.3,57.2
B-1699,86.2,4,14.3,39.6
B-1700,83.2,5,18.2,61.9
B-1701,81.0,4,12.7,74.3
B-1702,100.0,0,17.8,39.5
B-1703,37.8,8,19.7,32.5
B-1704,83.4,7,22.6,83.5
B-1705,44.3,6,12.9,75.0
B-1706,91.6,1,9.8,37.1
B-1707,64.8,6,16.7,87.8
B-1708,54.9,5,24.7,77.8
B-1709,50.2,10,22.4,40.1
B-1710,87.5,4,13.8,65.6
B-1711,29.5,10,19.9,65.2
B-1712,97.9,1,11.4,50.6
B-1713,39.4,10,19.2,45.3
B-1714,39.3,8,15.2,85.2
B-1715,61.2,5,19.4,31.4
B-1716,92.6,1,5.0,66.6
B-1717,84.6,7,7.4,36.1
B-1718,100.0,0,21.6,70.6
B-1719,54.5,10,5.7,48.7
B-1720,35.9,10,13.0,32.2
B-1721,87.2,2,11.1,37.1
B-1722,77.8,3,14.7,65.0
B-1723,54.9,5,12.6,60.2
B-1724,75.2,7,24.4,69.9
B-1725,76.9,9,5.1,62.9
B-1726,33.5,8,24.8,40.3
B-1727,46.9,7,12.6,43.6
B-1728,83.3,2,7.6,77.5
B-1729,100.0,0,2.8,47.4
B-1730,77.2,4,14.7,67.9
B-1731,86.9,3,18.1,52.9
B-1732,76.8,5,14.1,66.1
B-1733,20.8,8,22.1,47.8
